rd,StopNum,Line,open.date
101,NA,NA,NA
105,NA,NA,NA
109,NA,NA,NA
111,80410,gold,2003-07-27
112,NA,NA,NA
119,80409,gold,1993-01-30
121,NA,NA,NA
122,80213,red,1993-01-30
123,80213,red,1993-01-30
124,NA,NA,NA
127,80408,gold,2009-11-15
128,80408,gold,2009-11-15
129,80408,gold,2009-11-15
131,NA,NA,NA
132,80213,red,1993-01-30
133,NA,NA,NA
134,80212,red,1993-01-30
135,NA,NA,NA
138,NA,NA,NA
139,80408,gold,2009-11-15
141,NA,NA,NA
142,80212,red,1993-01-30
143,80212,red,1993-01-30
144,NA,NA,NA
145,NA,NA,NA
146,NA,NA,NA
147,NA,NA,NA
148,NA,NA,NA
151,80122,blue,1991-02-15
152,80122,blue,1991-02-15
153,80212,red,1993-01-30
154,NA,NA,NA
155,NA,NA,NA
156,NA,NA,NA
157,NA,NA,NA
158,NA,NA,NA
159,NA,NA,NA
161,80122,blue,1991-02-15
162,80122,blue,1991-02-15
163,NA,NA,NA
164,NA,NA,NA
165,NA,NA,NA
166,NA,NA,NA
171,NA,NA,NA
174,NA,NA,NA
176,NA,NA,NA
181,80121,blue,1990-07-14
182,80121,blue,1990-07-14
185,NA,NA,NA
191,80121,blue,1990-07-14
192,80121,blue,1990-07-14
195,NA,NA,NA
211,80207,red,1999-06-12
212,80207,red,1999-06-12
213,NA,NA,NA
214,NA,NA,NA
215,NA,NA,NA
217,NA,NA,NA
219,NA,NA,NA
221,80208,red,1999-06-12
222,80208,red,1999-06-12
224,NA,NA,NA
231,80208,red,1999-06-12
232,NA,NA,NA
233,80208,red,1999-06-12
234,NA,NA,NA
235,NA,NA,NA
236,NA,NA,NA
237,NA,NA,NA
238,NA,NA,NA
239,NA,NA,NA
241,NA,NA,NA
242,80209,red,1996-05-22
243,80209,red,1996-05-22
244,NA,NA,NA
245,80210,red,1993-01-30
246,80210,red,1993-01-30
247,NA,NA,NA
249,NA,NA,NA
251,80209,red,1996-05-22
252,80209,red,1996-05-22
