Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1992Q1,0899,8,4,9,5,2,2,1,1,12,10,0,5,0,0,5,1,18,0,75
1992Q1,0900,9,0,0,1,0,0,0,0,0,4,2,1,0,0,4,2,0,0,14
1992Q1,0909,9,5,41,7,13,14,1,3,55,38,15,14,0,1,28,8,96,0,339
1992Q1,0917,9,0,18,2,10,5,0,1,29,15,7,5,0,0,8,1,41,0,142
1992Q1,0918,9,9,15,1,21,12,0,0,30,39,11,8,0,2,103,10,67,1,329
1992Q1,0919,9,1,13,1,3,9,0,1,15,18,7,4,0,0,8,1,27,0,108
1992Q1,0921,9,14,9,11,7,2,0,0,21,23,8,17,2,0,15,5,45,1,180
1992Q1,0923,9,4,4,0,2,3,1,0,19,12,3,2,0,0,1,3,23,0,77
1992Q1,0924,9,2,8,0,2,1,1,1,10,3,1,0,0,0,3,3,11,0,46
1992Q1,0925,9,13,8,1,5,1,0,4,23,18,2,7,1,1,8,5,24,1,122
1992Q1,0926,9,3,11,1,0,0,0,0,15,21,3,5,0,0,4,1,23,0,87
1992Q1,0927,9,2,12,4,3,1,0,0,10,21,8,1,0,0,4,1,35,0,102
1992Q1,0928,9,8,9,1,3,2,1,0,2,14,1,5,0,0,3,1,18,0,68
1992Q1,0929,9,0,4,4,2,0,0,0,1,6,2,5,0,0,4,1,7,0,36
1992Q1,0932,9,10,15,1,4,1,0,0,11,10,5,8,0,0,6,1,35,0,107
1992Q1,0934,9,1,1,4,0,0,0,1,2,2,0,1,0,1,0,0,7,0,20
1992Q1,0935,9,10,6,2,5,5,0,1,9,9,5,2,0,0,6,1,25,0,86
1992Q1,0936,9,38,22,10,8,8,1,0,36,22,9,13,2,1,31,1,66,0,268
1992Q1,0937,9,7,4,2,3,1,0,1,11,11,2,3,1,0,3,0,17,0,66
1992Q1,0938,9,3,9,1,4,3,0,2,12,13,4,5,0,0,18,2,19,1,96
1992Q1,0939,9,10,1,1,4,2,0,0,2,8,4,4,1,1,39,0,9,1,87
1992Q1,0941,9,4,14,1,1,2,0,0,5,17,4,3,0,0,4,0,23,0,78
1992Q1,0942,9,4,11,4,5,2,0,0,14,21,4,2,0,0,4,2,33,0,106
1992Q1,0944,9,3,12,2,6,10,0,2,8,18,6,7,1,0,4,0,23,0,102
1992Q1,0945,9,5,15,3,8,3,1,1,15,19,3,2,0,1,15,3,40,1,135
1992Q1,0946,9,4,11,1,6,5,0,1,21,20,8,7,0,2,13,1,32,0,132
1992Q1,0948,9,1,7,0,3,3,0,0,20,14,3,9,0,0,13,4,32,0,109
1992Q1,0949,9,0,8,1,3,8,0,0,20,21,10,3,0,2,15,1,38,0,130
1992Q1,0952,9,7,15,3,2,1,0,1,13,11,6,3,0,0,1,3,21,0,87
1992Q1,0955,9,6,13,10,9,6,0,3,16,30,8,3,1,1,22,6,48,2,184
1992Q1,0956,9,4,12,6,5,3,0,2,18,24,6,10,2,0,11,3,24,0,130
1992Q1,0957,9,11,7,1,9,6,0,1,22,46,4,8,1,0,8,4,29,1,158
1992Q1,0958,9,5,10,2,5,4,0,1,23,31,7,2,0,0,13,5,23,0,131
1992Q1,0961,9,5,2,3,0,1,0,0,5,10,2,0,0,0,1,0,6,0,35
1992Q1,0962,9,9,7,9,4,2,0,0,7,24,1,8,0,0,15,10,52,0,148
1992Q1,0963,9,3,18,3,3,4,0,2,10,31,9,4,0,0,6,3,52,0,148
1992Q1,0964,9,9,12,3,5,2,0,2,13,37,8,3,0,0,12,1,22,0,129
1992Q1,0965,9,0,14,3,1,1,0,0,11,21,2,3,0,0,1,1,26,0,84
1992Q1,0966,9,1,3,1,2,3,0,0,2,3,4,3,0,0,4,1,24,0,51
1992Q1,0968,9,3,16,3,3,2,0,0,1,9,4,2,0,0,1,3,18,1,66
