RD1999,RD2005
900,NA
911,911
921,921
922,922
923,923
924,924
925,925
926,926
927,927
929,NA
931,931
932,932
934,934
935,935
936,936
937,937
938,938
941,941
942,942
944,944
945,945
946,946
948,948
949,NA
951,951
952,952
955,955
956,956
957,957
958,958
961,961
962,962
963,963
964,964
965,965
966,966
968,968
969,969
972,972
973,973
974,974
975,975
976,976
977,977
978,978
979,979
983,983
984,984
986,986
988,988
989,989
995,995
998,998
999,999
1700,NA
1701,1701
1702,1702
1703,1703
1704,1704
1705,1705
1706,1706
1707,1707
1708,1921
1709,1922
1713,1713
1714,1714
1715,1715
1716,1716
1717,1931
1718,1932
1719,1933
1721,1721
1722,1722
1723,1723
1724,1724
1725,1725
1726,1726
1727,1727
1728,1728
1729,1941;1951
1731,1731
1732,1732
1733,1733
1734,1734
1735,1735
1736,1736
1737,1737
1738,1738
1739,1961
1742,1997
1743,1998
1744,1744
1745,1745
1746,1746
1747,1747
1748,1971
1749,1972
1751,1751
1752,1752
1753,1753
1754,1754
1755,1755
1756,1756
1757,1757
1758,1758
1759,1996
1762,1762
1763,1763
1764,1764
1765,1981
1766,1982
1767,1983
1768,1984
1769,1985
1772,1772
1773,1773
1774,1774
1775,1775
1776,1776
1777,1777
1778,1778
1779,1986;1987
1782,1782
1783,1783
1784,1784
1785,1785
1786,1786
1787,1787
1788,1788
1789,901
1791,1791
1792,1792
1793,1793
1794,1991
1795,1992
1796,1993
1797,902
1798,1994
1799,1995
