Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL,,
1991Q1,0238,2,2,2,0,4,0,0,0,5,8,1,1,0,0,3,0,20,0,46,,
1991Q1,0241,2,3,6,1,10,2,0,0,21,9,8,3,1,0,6,0,52,0,122,,
1991Q1,0242,2,2,25,1,7,8,0,0,28,9,5,3,2,1,16,1,43,0,151,,
1991Q1,0243,2,5,16,4,16,5,0,0,20,33,2,4,4,1,17,2,34,1,164,,
1991Q1,0244,2,3,14,3,13,2,0,0,19,41,7,3,1,0,6,2,53,1,168,,
1991Q1,0245,2,5,9,0,10,2,0,0,29,35,5,0,2,1,5,0,45,0,148,,
1991Q1,0246,2,4,13,4,14,0,0,0,32,29,7,1,1,0,21,0,31,0,157,,
1991Q1,0247,2,2,11,6,13,1,0,2,25,28,4,3,2,2,6,1,30,0,136,,
1991Q1,0248,2,2,11,2,8,3,0,0,13,7,6,1,0,1,0,0,16,0,70,,
1991Q1,0249,2,1,2,2,3,1,0,0,6,17,2,0,0,1,2,0,5,0,42,,
1991Q1,0251,2,3,17,0,16,11,0,1,28,29,4,4,0,4,9,1,68,0,195,,
1991Q1,0252,2,10,7,3,13,8,0,0,18,37,4,5,5,2,9,1,40,0,162,,
1991Q1,0253,2,12,11,2,21,10,1,0,16,47,7,1,4,0,23,0,30,1,186,,
1991Q1,0254,2,2,20,0,15,4,0,1,21,38,7,2,1,3,11,2,29,0,156,,
1991Q1,0255,2,7,13,4,31,11,2,0,37,40,4,7,2,4,21,0,52,0,235,,
1991Q1,0256,2,10,9,5,52,6,4,3,62,28,11,6,7,0,30,0,53,0,286,,
1991Q1,0258,2,9,12,3,41,10,2,0,27,45,8,3,0,0,17,0,43,0,220,,
1991Q1,0259,2,2,4,2,19,2,0,0,10,73,5,5,0,0,8,2,23,0,155,,
1991Q1,0261,2,8,15,7,47,14,3,5,46,32,8,6,8,3,21,0,102,1,326,,
1991Q1,0262,2,8,14,2,21,11,1,0,38,30,7,6,5,1,20,0,59,0,223,,
1991Q1,0266,2,18,31,2,68,22,1,4,91,37,13,9,5,3,28,0,47,0,379,,
1991Q1,0269,2,10,14,1,19,13,0,1,18,38,4,5,0,0,5,0,38,0,166,,
1991Q1,0271,2,1,7,4,42,2,1,1,33,22,3,4,0,3,3,1,34,0,161,,
1991Q1,0272,2,9,9,1,33,4,1,1,26,26,4,5,0,1,10,0,51,1,182,,
1991Q1,0275,2,10,21,2,28,14,1,1,25,55,7,2,1,1,8,1,38,0,215,,
1991Q1,0276,2,3,10,3,18,3,2,1,35,16,7,1,2,0,8,0,28,0,137,,
1991Q1,0279,2,2,2,2,3,1,0,0,6,25,1,0,1,1,4,0,22,0,70,,
1991Q1,0281,2,3,2,0,12,2,1,1,25,12,5,1,0,2,1,0,26,0,93,,
1991Q1,0282,2,5,3,3,19,6,0,0,28,18,7,1,0,0,4,0,44,0,138,,
1991Q1,0286,2,1,8,0,14,1,0,0,13,7,16,3,2,1,1,0,20,0,87,,
1991Q1,0289,2,5,1,1,1,1,2,0,11,11,3,2,0,1,2,0,13,0,54,,
1991Q1,0291,2,1,3,0,10,1,0,0,2,3,2,2,1,0,1,0,12,0,38,,
1991Q1,0292,2,5,0,0,6,0,0,0,10,4,0,2,0,0,2,0,7,0,36,,
1991Q1,0296,2,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,7,0,13,,
1991Q1,0299,2,1,2,0,5,2,0,0,6,6,4,0,0,0,3,0,14,0,43,,
1991Q1,0300,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,,
