QUARTER,REPORTING DISTRICT,DIVISION,BURG BUS-,BURG RES-,BURG OTH-,ROBB ST-,ROBB OTH-,MURD- ER,RAPE,AGGR ASSA- ULT,BURG “FROM AUTO,THEFT FROM AUTO,GRAND THEFT,THEFT FROM PERS,PURSE SNAT- CH,OTHER THEFT,BIKETHEFT,AUTO THEFT,BUNCO,TOTAL
2005Q4,301,3,0,1,0,1,1,0,0,3,1,1,0,0,0,1,0,0,0,9
2005Q4,303,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
2005Q4,305,3,0,2,0,1,1,0,0,6,2,0,3,0,0,1,0,1,0,17
2005Q4,307,3,0,1,0,0,1,0,0,2,1,0,1,0,1,2,0,3,0,12
2005Q4,309,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2005Q4,311,3,1,6,0,2,2,0,1,3,3,1,2,0,0,0,0,10,0,31
2005Q4,312,3,0,2,0,4,1,0,0,4,3,2,1,0,0,5,0,5,0,27
2005Q4,313,3,1,6,3,1,1,0,0,6,2,0,0,0,0,2,0,4,0,26
2005Q4,314,3,1,3,3,3,1,0,0,5,3,3,2,0,0,2,0,7,0,33
2005Q4,315,3,0,1,2,7,2,0,0,4,1,0,3,0,2,3,0,6,0,31
2005Q4,316,3,0,1,0,3,1,0,0,4,5,3,1,1,0,2,0,8,0,29
2005Q4,317,3,1,1,0,4,4,0,2,3,1,3,1,0,0,0,0,10,0,30
2005Q4,318,3,0,4,0,3,2,0,0,3,3,4,0,0,0,3,0,5,0,27
2005Q4,319,3,0,2,0,2,1,0,0,5,15,2,3,1,0,10,1,15,0,57
2005Q4,321,3,1,7,2,0,2,0,1,4,4,4,5,0,0,28,0,2,0,60
2005Q4,326,3,1,3,0,9,2,0,1,6,5,1,2,0,0,4,0,10,0,44
2005Q4,327,3,0,7,0,8,0,0,0,1,8,4,2,1,0,12,2,17,0,62
2005Q4,328,3,0,8,2,6,0,0,1,0,10,3,12,0,0,23,4,9,0,78
2005Q4,329,3,0,0,0,1,1,0,0,1,0,2,1,0,0,3,1,2,0,12
2005Q4,331,3,0,6,0,5,1,0,0,2,7,1,0,0,0,1,0,9,0,32
2005Q4,332,3,0,4,1,2,1,0,2,2,10,1,0,0,0,2,0,7,0,32
2005Q4,333,3,1,8,0,3,1,0,1,4,7,1,0,0,0,1,0,2,0,29
2005Q4,334,3,0,6,1,7,3,0,2,13,2,4,2,0,0,1,0,6,0,47
2005Q4,335,3,0,2,0,1,0,0,0,2,3,0,1,0,0,0,0,10,0,19
2005Q4,336,3,3,3,1,2,4,0,0,4,4,1,1,0,0,2,0,3,0,28
2005Q4,337,3,1,4,1,3,1,0,0,4,2,1,1,0,0,3,0,3,0,24
2005Q4,338,3,2,4,2,10,5,0,1,4,8,2,4,2,0,22,1,10,0,77
2005Q4,341,3,1,5,1,1,0,0,0,1,2,2,1,0,0,4,0,6,0,24
