rd,year,Q,AGG,BTFV,BURG,GTA,GTP,HOM,ROBB
101,1988,1,4,20,5,18,1,0,2
101,1988,2,5,25,12,17,0,0,1
101,1988,3,5,18,8,18,1,0,9
101,1988,4,2,16,9,15,3,0,6
101,1989,1,5,27,12,23,3,0,3
101,1989,2,4,18,10,31,2,0,9
101,1989,3,6,27,15,23,1,0,9
101,1989,4,7,11,12,22,0,0,5
101,1990,1,7,19,13,21,3,1,10
101,1990,2,11,29,4,32,2,0,6
101,1990,3,14,22,5,24,1,0,10
101,1990,4,6,19,9,21,4,0,8
101,1991,1,4,27,13,34,0,0,8
101,1991,2,7,25,17,27,1,0,10
101,1991,3,12,22,13,27,2,0,7
101,1991,4,11,33,10,30,2,0,25
101,1992,1,5,10,7,10,0,0,10
101,1992,2,4,18,13,25,1,0,23
101,1992,3,4,21,5,20,2,0,26
101,1992,4,3,8,10,21,1,1,16
101,1993,1,9,25,6,15,1,0,19
101,1993,2,8,14,19,26,0,0,17
101,1993,3,7,28,7,47,2,0,13
101,1993,4,5,16,14,24,1,0,14
101,1994,1,4,17,5,10,1,0,9
101,1994,2,10,30,6,13,1,0,15
101,1994,3,5,21,8,17,1,0,10
101,1994,4,10,6,8,8,1,0,6
101,1995,1,5,20,7,12,1,0,7
101,1995,2,7,14,4,14,0,0,4
101,1995,3,6,15,3,19,0,0,4
101,1995,4,7,28,5,22,0,0,12
101,1996,1,5,10,5,14,2,1,9
101,1996,2,5,12,7,5,0,0,3
101,1996,3,7,11,4,11,0,1,9
101,1996,4,3,4,5,11,0,0,9
101,1997,1,6,11,20,8,0,0,5
101,1997,2,6,23,12,11,0,0,9
101,1997,3,5,7,17,12,0,1,15
101,1997,4,9,8,10,4,0,0,10
101,1998,1,12,5,7,13,0,0,6
101,1998,2,6,9,6,12,0,0,10
101,1998,3,8,10,5,9,1,0,4
101,1998,4,4,7,6,7,0,0,10
101,1999,1,6,9,4,11,1,0,1
101,1999,2,6,22,2,3,0,0,3
101,1999,3,3,10,2,7,0,0,7
101,1999,4,5,8,5,11,1,0,4
101,2000,1,7,15,3,5,0,0,4
101,2000,2,10,4,0,8,1,0,1
101,2000,3,6,8,3,6,1,0,1
101,2000,4,7,15,4,5,0,0,2
101,2001,1,5,17,6,11,1,0,1
101,2001,2,8,19,8,13,1,0,1
101,2001,3,2,13,5,13,0,0,3
101,2001,4,9,11,9,18,0,0,6
101,2002,1,4,23,4,13,0,0,2
101,2002,2,7,17,9,9,0,0,2
101,2002,3,4,8,5,14,2,1,9
101,2002,4,5,3,1,9,0,0,3
101,2003,1,7,16,2,8,0,0,2
101,2003,2,4,12,6,8,1,0,2
101,2003,3,8,23,6,11,0,1,7
101,2003,4,2,14,7,8,0,0,3
101,2004,1,9,12,4,15,0,0,1
101,2004,2,5,8,4,10,0,0,2
101,2004,3,12,12,2,10,0,0,1
101,2004,4,2,28,7,13,1,0,4
101,2005,1,10,22,5,34,0,0,7
101,2005,2,9,23,6,20,0,0,4
101,2005,3,1,18,4,9,0,0,0
101,2005,4,3,14,11,8,0,0,1
101,2006,1,7,11,4,19,0,0,1
101,2006,2,4,9,3,12,0,0,2
101,2006,3,2,5,5,7,0,0,1
101,2006,4,4,9,0,12,0,0,6
101,2007,1,3,9,2,9,0,0,4
101,2007,2,3,15,1,2,0,0,0
101,2007,3,3,7,3,7,0,0,1
101,2007,4,1,4,1,8,0,0,1
101,2008,1,3,11,3,12,1,0,0
101,2008,2,2,6,1,8,1,0,0
101,2008,3,5,9,4,8,0,0,3
101,2008,4,1,5,0,9,1,0,2
101,2009,1,1,10,1,6,0,0,0
101,2009,2,2,13,1,6,0,0,2
101,2009,3,0,9,3,8,0,0,1
101,2009,4,1,9,1,11,0,0,2
101,2010,1,1,11,2,3,0,0,5
101,2010,2,3,21,2,9,1,0,2
101,2010,3,3,10,3,9,0,0,2
101,2010,4,6,2,3,8,0,0,1
101,2011,1,1,6,0,8,1,0,3
101,2011,2,5,6,2,8,0,0,1
101,2011,3,2,6,2,0,2,0,2
101,2011,4,1,3,1,6,0,0,1
101,2012,1,6,4,4,9,2,0,0
101,2012,2,0,12,3,5,1,0,2
101,2012,3,0,5,4,3,3,0,3
101,2012,4,0,1,5,4,0,0,1
101,2013,1,2,4,3,1,1,0,0
101,2013,2,0,4,1,4,1,0,0
101,2013,3,0,4,1,1,0,0,1
101,2013,4,0,6,2,2,0,0,0
101,2014,1,3,11,1,1,1,0,2
101,2014,2,1,6,2,2,0,0,3
101,2014,3,5,11,0,3,2,0,1
101,2014,4,4,6,0,0,1,0,1
105,1988,1,3,9,4,7,2,0,0
105,1988,2,1,11,1,10,1,0,0
105,1988,3,1,14,4,11,0,0,0
105,1988,4,3,7,3,3,0,0,0
105,1989,1,0,7,6,6,2,0,4
105,1989,2,2,5,4,6,1,0,0
105,1989,3,0,7,1,2,0,0,1
105,1989,4,1,8,4,9,1,0,2
105,1990,1,3,6,9,5,0,0,3
105,1990,2,1,13,6,8,1,0,0
105,1990,3,0,10,3,5,0,2,2
105,1990,4,1,6,0,4,1,1,1
105,1991,1,3,6,5,11,0,0,4
105,1991,2,1,6,0,7,1,0,3
105,1991,3,1,11,4,7,1,0,5
105,1991,4,2,20,2,5,2,0,1
105,1992,1,3,11,32,8,2,0,8
105,1992,2,2,18,10,14,1,0,7
105,1992,3,2,6,4,7,0,0,7
105,1992,4,0,6,2,7,0,1,3
105,1993,1,1,5,3,6,1,0,1
105,1993,2,1,4,0,4,1,0,5
105,1993,3,2,10,1,1,0,0,1
105,1993,4,0,9,1,5,0,0,1
105,1994,1,1,7,2,2,0,0,1
105,1994,2,1,4,1,5,0,0,3
105,1994,3,3,4,5,1,0,0,2
105,1994,4,0,3,4,4,1,0,3
105,1995,1,0,5,3,4,0,0,2
105,1995,2,1,7,1,8,0,0,2
105,1995,3,1,5,1,1,0,0,1
105,1995,4,1,7,2,8,0,0,2
105,1996,1,1,2,0,9,0,0,0
105,1996,2,2,3,1,8,0,0,0
105,1996,3,2,5,2,0,0,0,2
105,1996,4,1,4,4,3,0,0,0
105,1997,1,0,1,0,5,0,0,4
105,1997,2,3,4,4,5,0,0,5
105,1997,3,0,2,4,1,0,0,0
105,1997,4,1,1,0,2,0,1,4
105,1998,1,1,5,1,1,0,0,2
105,1998,2,2,3,2,5,1,0,1
105,1998,3,1,7,1,3,0,0,2
105,1998,4,0,5,2,4,0,0,0
105,1999,1,0,3,5,1,0,0,0
105,1999,2,0,8,3,2,0,0,1
105,1999,3,1,6,4,1,0,0,1
105,1999,4,1,5,0,1,0,0,3
105,2000,1,0,5,1,2,0,0,1
105,2000,2,1,2,3,0,0,0,0
105,2000,3,1,4,0,5,0,0,0
105,2000,4,0,2,2,0,0,0,0
105,2001,1,0,4,0,3,0,0,2
105,2001,2,2,2,1,1,0,0,1
105,2001,3,0,3,2,0,0,0,1
105,2001,4,1,5,1,4,0,0,1
105,2002,1,1,12,7,3,0,0,1
105,2002,2,1,1,0,3,0,0,2
105,2002,3,1,7,2,4,0,0,0
105,2002,4,2,2,0,3,0,0,0
105,2003,1,2,2,0,1,0,0,3
105,2003,2,1,4,1,3,0,0,1
105,2003,3,1,13,2,1,0,0,1
105,2003,4,0,5,2,4,0,0,0
105,2004,1,2,8,2,6,0,0,2
105,2004,2,0,3,0,2,0,0,2
105,2004,3,3,7,2,2,0,0,0
105,2004,4,0,9,3,4,0,0,0
105,2005,1,2,4,3,13,1,0,3
105,2005,2,0,5,1,7,0,0,2
105,2005,3,1,7,1,5,0,0,0
105,2005,4,0,7,1,1,0,0,1
105,2006,1,0,0,0,6,0,0,2
105,2006,2,0,1,0,3,0,0,1
105,2006,3,0,2,0,4,0,0,1
105,2006,4,5,0,2,0,0,0,0
105,2007,1,3,4,3,2,0,0,1
105,2007,2,2,0,2,1,0,0,1
105,2007,3,3,0,0,3,0,0,2
105,2007,4,2,1,1,1,0,0,4
105,2008,1,0,12,1,0,0,0,0
105,2008,2,1,2,1,1,0,0,0
105,2008,3,1,2,3,1,0,0,1
105,2008,4,0,0,0,2,0,0,2
105,2009,1,0,6,0,4,0,0,0
105,2009,2,0,1,0,0,0,0,2
105,2009,3,0,3,1,2,0,0,1
105,2009,4,0,4,1,1,0,0,2
105,2010,1,0,2,0,3,0,0,1
105,2010,2,0,4,1,2,0,0,0
105,2010,3,0,2,0,0,0,0,0
105,2010,4,0,3,0,2,0,0,1
105,2011,1,0,8,0,1,0,0,1
105,2011,2,0,2,0,1,1,0,1
105,2011,3,1,1,1,2,0,0,0
105,2011,4,0,1,2,1,0,0,3
105,2012,1,1,1,0,1,0,0,0
105,2012,2,0,2,0,2,2,0,0
105,2012,3,2,3,0,3,1,0,1
105,2012,4,0,1,0,0,0,0,0
105,2013,1,0,0,0,3,0,0,0
105,2013,2,0,2,0,3,1,0,0
105,2013,3,0,3,0,1,0,0,0
105,2013,4,0,1,1,4,0,0,0
105,2014,1,1,0,0,1,2,0,0
105,2014,2,2,0,0,1,1,0,0
105,2014,3,0,0,0,0,0,0,0
105,2014,4,1,1,1,1,0,0,0
109,1988,1,0,2,1,0,0,0,1
109,1988,2,0,0,0,0,0,0,1
109,1988,3,0,0,0,2,0,0,3
109,1988,4,0,1,1,2,0,0,0
109,1989,1,0,0,0,0,0,0,1
109,1989,2,0,0,0,1,0,0,2
109,1989,3,0,0,0,1,0,0,0
109,1989,4,0,0,3,0,0,0,0
109,1990,1,0,0,0,2,0,0,5
109,1990,2,0,1,1,0,0,0,1
109,1990,3,0,0,1,0,1,0,1
109,1990,4,1,0,0,0,0,0,1
109,1991,1,1,1,1,0,0,0,0
109,1991,2,2,0,1,3,0,0,0
109,1991,3,0,3,0,0,0,1,1
109,1991,4,1,1,0,4,0,0,2
109,1992,1,0,0,1,0,0,0,2
109,1992,2,0,1,3,3,1,0,1
109,1992,3,3,0,0,2,0,0,3
109,1992,4,0,1,1,0,0,0,0
109,1993,1,2,3,0,0,0,0,1
109,1993,2,2,2,1,1,0,0,4
109,1993,3,0,0,0,2,0,1,5
109,1993,4,1,0,0,1,0,0,2
109,1994,1,0,0,0,0,1,0,1
109,1994,2,0,0,4,0,0,0,3
109,1994,3,0,0,1,1,0,0,2
109,1994,4,0,1,0,2,0,0,3
109,1995,1,0,0,0,0,0,0,1
109,1995,2,0,1,0,1,0,0,1
109,1995,3,0,0,0,0,0,0,0
109,1995,4,0,0,0,0,0,0,1
109,1996,1,1,0,0,0,0,0,1
109,1996,2,1,0,0,1,0,0,2
109,1996,3,0,0,0,1,0,0,1
109,1996,4,1,0,0,0,0,0,0
109,1997,1,0,0,0,0,0,0,1
109,1997,2,0,1,0,0,0,0,0
109,1997,3,0,0,0,0,0,0,0
109,1997,4,0,0,0,0,0,0,0
109,1998,1,0,0,0,0,0,0,0
109,1998,2,0,0,0,0,0,0,0
109,1998,3,0,0,0,1,0,0,0
109,1998,4,0,0,0,1,0,0,2
109,1999,1,0,0,0,0,0,0,1
109,1999,2,0,0,0,1,0,0,2
109,1999,3,0,0,0,0,0,0,1
109,1999,4,0,0,0,1,0,0,0
109,2000,1,0,0,0,0,0,0,0
109,2000,2,0,1,0,0,0,0,1
109,2000,3,0,1,0,0,0,0,1
109,2000,4,0,0,0,0,0,0,1
109,2001,1,0,0,1,2,0,0,1
109,2001,2,0,0,0,0,0,0,1
109,2001,3,0,0,0,0,0,0,1
109,2001,4,0,0,0,0,0,0,0
109,2002,1,0,0,0,0,0,0,0
109,2002,2,0,0,0,0,0,0,1
109,2002,3,0,1,0,0,0,0,0
109,2002,4,0,0,0,0,0,0,1
109,2003,1,0,0,0,0,0,0,0
109,2003,2,1,0,0,0,0,0,1
109,2003,3,0,0,0,0,0,0,0
109,2003,4,0,0,0,0,0,0,0
109,2004,1,0,0,0,0,0,0,0
109,2004,2,0,0,0,0,0,0,0
109,2004,3,0,0,0,0,0,0,2
109,2004,4,0,0,0,0,0,0,1
109,2005,1,0,0,0,2,0,0,1
109,2005,2,0,1,0,0,0,0,1
109,2005,3,1,0,0,0,0,0,0
109,2005,4,0,0,0,0,0,0,0
109,2006,1,0,0,0,1,0,0,1
109,2006,2,0,0,0,0,0,0,0
109,2006,3,1,0,0,1,0,0,0
109,2006,4,1,0,0,0,0,0,0
109,2007,1,0,0,0,0,0,0,0
109,2007,2,0,0,0,0,0,0,0
109,2007,3,2,0,0,0,0,0,0
109,2007,4,0,0,0,0,0,0,1
109,2008,1,0,0,0,0,0,0,1
109,2008,2,0,0,0,0,0,0,2
109,2008,3,0,0,0,0,0,0,2
109,2008,4,0,0,0,0,0,0,1
109,2009,1,0,0,0,0,0,0,0
109,2009,2,0,0,0,0,0,0,5
109,2009,3,0,0,0,0,0,0,1
109,2009,4,0,0,0,0,0,0,0
109,2010,1,0,0,0,0,0,0,0
109,2010,2,0,0,0,0,0,0,0
109,2010,3,0,0,0,0,0,0,0
109,2010,4,0,0,0,0,0,0,0
109,2011,1,0,1,0,0,0,0,0
109,2011,2,0,0,0,0,0,0,0
109,2011,3,0,0,0,0,0,0,0
109,2011,4,0,0,0,0,0,0,0
109,2012,1,1,0,0,0,0,0,0
109,2012,2,0,0,0,0,0,0,0
109,2012,3,0,0,0,0,0,0,0
109,2012,4,0,0,0,0,0,0,0
109,2013,1,0,0,0,0,0,0,0
109,2013,2,0,0,0,0,0,0,0
109,2013,3,0,0,0,0,0,0,0
109,2013,4,0,0,0,0,0,0,0
109,2014,1,0,0,0,0,0,0,0
109,2014,2,0,0,0,0,0,0,1
109,2014,3,0,0,0,0,0,0,0
109,2014,4,0,0,0,0,0,0,0
111;112;121,1988,1,14,249,36,105,46,0,28
111;112;121,1988,2,14,184,22,61,19,0,15
111;112;121,1988,3,23,164,26,64,19,0,36
111;112;121,1988,4,27,183,25,87,24,0,37
111;112;121,1989,1,25,291,60,84,27,1,49
111;112;121,1989,2,20,297,44,73,35,0,52
111;112;121,1989,3,32,153,50,62,31,0,40
111;112;121,1989,4,20,153,42,59,28,0,51
111;112;121,1990,1,28,177,51,70,54,1,61
111;112;121,1990,2,31,153,31,90,36,2,60
111;112;121,1990,3,35,191,34,97,36,0,67
111;112;121,1990,4,28,165,28,90,35,1,56
111;112;121,1991,1,16,196,21,103,17,0,35
111;112;121,1991,2,22,147,53,74,25,0,49
111;112;121,1991,3,21,244,28,58,34,0,65
111;112;121,1991,4,21,215,45,69,34,0,64
111;112;121,1992,1,12,135,30,50,20,0,42
111;112;121,1992,2,26,154,46,69,31,0,80
111;112;121,1992,3,23,114,30,58,21,0,78
111;112;121,1992,4,27,138,39,56,23,0,73
111;112;121,1993,1,16,145,33,69,11,0,56
111;112;121,1993,2,29,165,48,59,16,0,49
111;112;121,1993,3,32,157,21,57,21,0,63
111;112;121,1993,4,18,99,19,58,21,0,62
111;112;121,1994,1,15,113,13,28,16,0,54
111;112;121,1994,2,27,70,22,42,6,1,26
111;112;121,1994,3,24,83,15,35,7,0,39
111;112;121,1994,4,11,99,14,34,9,2,24
111;112;121,1995,1,13,73,12,43,6,1,24
111;112;121,1995,2,8,72,12,34,13,0,30
111;112;121,1995,3,12,67,9,28,11,1,24
111;112;121,1995,4,12,61,9,32,10,0,37
111;112;121,1996,1,11,47,12,31,5,0,24
111;112;121,1996,2,18,43,15,29,12,0,18
111;112;121,1996,3,14,66,5,30,8,1,21
111;112;121,1996,4,13,48,18,26,10,0,17
111;112;121,1997,1,12,47,15,30,8,0,16
111;112;121,1997,2,7,59,13,23,11,0,25
111;112;121,1997,3,11,42,14,13,20,0,22
111;112;121,1997,4,15,33,10,7,4,0,19
111;112;121,1998,1,8,34,9,16,8,0,22
111;112;121,1998,2,12,53,18,25,17,1,21
111;112;121,1998,3,7,63,17,17,15,0,25
111;112;121,1998,4,10,45,10,5,8,0,19
111;112;121,1999,1,6,51,6,10,4,0,16
111;112;121,1999,2,18,38,17,12,14,0,18
111;112;121,1999,3,8,25,12,13,12,0,21
111;112;121,1999,4,17,49,10,17,6,2,16
111;112;121,2000,1,14,61,7,9,12,0,19
111;112;121,2000,2,16,33,10,20,7,0,13
111;112;121,2000,3,19,34,16,18,11,0,16
111;112;121,2000,4,10,40,11,25,18,0,16
111;112;121,2001,1,5,48,13,18,12,0,24
111;112;121,2001,2,10,46,25,21,13,1,12
111;112;121,2001,3,20,56,13,16,12,0,10
111;112;121,2001,4,14,21,12,18,6,0,19
111;112;121,2002,1,16,33,24,20,3,0,16
111;112;121,2002,2,17,29,19,20,0,0,14
111;112;121,2002,3,13,41,21,19,7,0,26
111;112;121,2002,4,10,28,13,18,6,0,12
111;112;121,2003,1,14,42,11,14,3,0,15
111;112;121,2003,2,20,31,20,19,4,0,12
111;112;121,2003,3,15,40,25,26,5,0,18
111;112;121,2003,4,17,33,13,19,1,0,10
111;112;121,2004,1,11,32,17,19,4,0,13
111;112;121,2004,2,9,36,13,14,3,0,9
111;112;121,2004,3,10,16,6,22,3,0,11
111;112;121,2004,4,7,42,8,14,0,0,12
111;112;121,2005,1,19,37,16,29,6,0,18
111;112;121,2005,2,15,55,14,39,4,0,12
111;112;121,2005,3,14,42,5,24,4,0,15
111;112;121,2005,4,10,21,10,19,1,0,10
111;112;121,2006,1,9,21,9,11,2,0,6
111;112;121,2006,2,4,22,3,16,0,0,6
111;112;121,2006,3,8,22,11,12,3,0,14
111;112;121,2006,4,9,15,4,11,1,0,6
111;112;121,2007,1,10,22,4,5,1,1,3
111;112;121,2007,2,11,24,1,12,1,0,7
111;112;121,2007,3,8,25,6,8,2,0,6
111;112;121,2007,4,9,28,13,6,3,1,8
111;112;121,2008,1,6,41,10,10,2,0,10
111;112;121,2008,2,11,27,9,12,4,0,7
111;112;121,2008,3,9,26,5,13,3,1,11
111;112;121,2008,4,6,48,11,14,5,0,5
111;112;121,2009,1,2,47,7,4,2,0,8
111;112;121,2009,2,9,25,4,3,2,0,7
111;112;121,2009,3,6,19,2,9,2,0,10
111;112;121,2009,4,4,13,7,11,1,0,3
111;112;121,2010,1,6,30,2,10,2,0,6
111;112;121,2010,2,4,27,0,18,2,0,5
111;112;121,2010,3,5,26,0,9,1,0,6
111;112;121,2010,4,4,32,4,6,1,0,5
111;112;121,2011,1,10,42,1,10,5,0,7
111;112;121,2011,2,4,21,7,12,7,0,4
111;112;121,2011,3,6,14,10,6,3,0,5
111;112;121,2011,4,9,21,23,2,12,0,3
111;112;121,2012,1,5,15,4,10,7,0,9
111;112;121,2012,2,8,20,3,8,4,0,7
111;112;121,2012,3,6,24,10,13,4,0,4
111;112;121,2012,4,1,17,10,8,8,0,8
111;112;121,2013,1,5,19,3,4,2,1,8
111;112;121,2013,2,8,19,14,10,7,0,4
111;112;121,2013,3,4,21,4,10,9,0,5
111;112;121,2013,4,3,11,5,12,7,0,5
111;112;121,2014,1,6,13,3,2,3,0,7
111;112;121,2014,2,3,14,10,8,5,1,5
111;112;121,2014,3,8,32,11,7,8,0,7
111;112;121,2014,4,5,19,15,7,10,0,4
119,1988,1,10,61,10,34,3,0,5
119,1988,2,13,48,6,32,2,0,6
119,1988,3,11,53,12,25,1,0,6
119,1988,4,14,53,14,30,3,0,0
119,1989,1,14,45,8,36,3,1,5
119,1989,2,19,49,20,30,3,0,8
119,1989,3,12,25,11,30,5,0,4
119,1989,4,8,37,13,25,4,0,3
119,1990,1,16,52,12,34,5,1,11
119,1990,2,11,54,8,37,5,0,9
119,1990,3,17,38,3,42,5,0,11
119,1990,4,16,34,9,37,5,0,9
119,1991,1,19,48,13,29,2,0,9
119,1991,2,11,50,4,30,3,0,10
119,1991,3,13,49,14,26,4,0,9
119,1991,4,11,41,3,33,3,1,7
119,1992,1,3,31,5,22,0,0,6
119,1992,2,21,28,8,23,0,1,15
119,1992,3,10,29,8,29,2,0,10
119,1992,4,9,37,3,38,0,0,12
119,1993,1,8,28,7,46,3,0,9
119,1993,2,13,43,17,27,2,2,10
119,1993,3,8,48,15,27,5,0,12
119,1993,4,8,28,11,29,4,0,10
119,1994,1,8,32,8,18,1,1,15
119,1994,2,13,23,11,25,3,0,5
119,1994,3,18,27,18,21,0,0,7
119,1994,4,11,25,14,26,0,1,5
119,1995,1,9,28,8,19,1,1,4
119,1995,2,5,23,9,15,2,0,11
119,1995,3,11,20,5,14,2,4,9
119,1995,4,14,17,9,12,1,0,7
119,1996,1,5,9,16,12,2,0,7
119,1996,2,3,19,3,12,1,0,9
119,1996,3,9,18,7,10,2,1,1
119,1996,4,5,16,10,20,0,1,3
119,1997,1,2,18,2,16,1,0,3
119,1997,2,6,32,4,8,2,0,6
119,1997,3,5,23,4,9,0,0,4
119,1997,4,7,17,10,7,2,0,5
119,1998,1,5,15,6,8,2,0,5
119,1998,2,6,18,5,9,2,0,5
119,1998,3,8,14,10,6,2,0,8
119,1998,4,8,14,1,5,2,0,9
119,1999,1,1,6,3,9,2,0,6
119,1999,2,5,23,3,11,6,0,4
119,1999,3,8,12,9,9,0,0,6
119,1999,4,5,11,6,5,1,0,6
119,2000,1,5,18,4,6,2,0,3
119,2000,2,5,10,2,8,4,0,5
119,2000,3,4,19,11,18,3,0,4
119,2000,4,11,27,7,28,2,0,6
119,2001,1,11,16,4,12,2,0,3
119,2001,2,9,17,6,9,4,0,3
119,2001,3,5,20,6,10,3,0,2
119,2001,4,3,9,1,15,3,1,4
119,2002,1,4,10,6,7,0,0,4
119,2002,2,6,10,5,11,1,1,6
119,2002,3,8,12,4,15,2,0,2
119,2002,4,2,13,5,10,3,0,6
119,2003,1,8,9,1,5,3,0,3
119,2003,2,9,10,2,9,0,0,5
119,2003,3,8,8,5,11,1,0,3
119,2003,4,5,10,6,19,0,0,2
119,2004,1,3,6,4,4,0,0,6
119,2004,2,6,16,3,10,3,0,2
119,2004,3,4,12,3,7,1,0,0
119,2004,4,5,15,3,6,1,0,6
119,2005,1,11,15,11,17,1,0,5
119,2005,2,6,10,2,11,3,1,3
119,2005,3,8,10,2,10,1,0,7
119,2005,4,2,6,4,9,1,0,2
119,2006,1,5,5,6,12,0,0,2
119,2006,2,4,3,1,3,1,0,2
119,2006,3,1,4,0,4,0,0,4
119,2006,4,3,2,0,4,0,0,2
119,2007,1,8,4,0,4,2,0,0
119,2007,2,7,3,2,6,0,0,4
119,2007,3,5,4,1,6,0,0,2
119,2007,4,6,4,6,4,0,0,2
119,2008,1,3,13,1,10,1,0,4
119,2008,2,4,2,0,1,1,0,3
119,2008,3,7,2,3,5,1,0,2
119,2008,4,10,8,1,8,1,2,3
119,2009,1,3,5,1,5,0,0,3
119,2009,2,2,7,1,3,0,0,6
119,2009,3,6,4,4,3,0,0,1
119,2009,4,0,6,1,7,0,0,3
119,2010,1,3,2,0,6,0,0,3
119,2010,2,4,7,1,4,1,0,1
119,2010,3,4,7,2,2,1,0,3
119,2010,4,3,7,1,3,3,0,3
119,2011,1,1,15,4,7,1,1,1
119,2011,2,2,6,12,5,4,0,1
119,2011,3,17,7,13,2,3,0,7
119,2011,4,2,3,2,3,1,0,3
119,2012,1,4,3,3,5,4,0,3
119,2012,2,11,4,0,3,2,0,5
119,2012,3,2,6,2,4,3,0,1
119,2012,4,0,3,0,3,5,0,1
119,2013,1,1,7,2,1,7,1,2
119,2013,2,1,2,2,3,6,0,5
119,2013,3,0,2,0,5,3,0,1
119,2013,4,4,3,2,6,7,0,1
119,2014,1,1,4,1,1,4,0,0
119,2014,2,2,0,5,1,1,0,3
119,2014,3,4,5,1,7,5,0,1
119,2014,4,11,3,1,4,2,0,1
122,1988,1,0,26,0,7,1,0,3
122,1988,2,1,23,2,3,1,0,4
122,1988,3,1,17,3,7,0,0,0
122,1988,4,1,14,4,6,1,0,2
122,1989,1,0,25,3,5,2,0,2
122,1989,2,4,40,5,4,1,0,2
122,1989,3,2,31,9,8,1,0,3
122,1989,4,1,34,2,1,1,0,3
122,1990,1,2,35,3,9,2,0,2
122,1990,2,0,29,1,7,3,0,2
122,1990,3,2,24,2,4,0,0,2
122,1990,4,0,31,2,7,0,0,0
122,1991,1,1,25,6,3,0,0,2
122,1991,2,1,32,3,7,2,0,1
122,1991,3,2,35,7,3,0,0,5
122,1991,4,2,33,2,3,1,0,2
122,1992,1,0,25,1,1,2,0,0
122,1992,2,2,30,0,1,2,0,3
122,1992,3,2,21,6,2,1,0,3
122,1992,4,2,27,7,7,0,0,5
122,1993,1,3,28,2,4,0,0,4
122,1993,2,0,28,0,3,0,0,1
122,1993,3,3,30,3,0,0,0,2
122,1993,4,2,26,1,3,2,0,0
122,1994,1,0,30,2,0,0,0,0
122,1994,2,3,23,4,2,0,0,0
122,1994,3,1,20,1,3,0,0,0
122,1994,4,0,33,2,5,0,0,0
122,1995,1,1,16,0,4,0,0,1
122,1995,2,0,17,0,3,1,0,2
122,1995,3,3,15,0,4,1,0,1
122,1995,4,1,21,1,2,0,0,2
122,1996,1,0,13,3,4,0,0,0
122,1996,2,1,12,3,1,2,0,1
122,1996,3,0,12,3,1,0,0,0
122,1996,4,0,19,5,1,0,0,0
122,1997,1,1,12,6,2,2,0,0
122,1997,2,0,19,3,0,3,0,3
122,1997,3,1,12,1,1,0,0,2
122,1997,4,1,7,3,1,0,0,1
122,1998,1,0,13,2,0,1,0,1
122,1998,2,1,13,3,0,2,0,2
122,1998,3,2,13,3,1,0,0,0
122,1998,4,1,10,1,0,1,0,0
122,1999,1,0,10,0,0,1,0,0
122,1999,2,1,6,4,1,2,0,0
122,1999,3,0,2,0,0,3,0,1
122,1999,4,0,10,0,1,1,0,1
122,2000,1,1,12,2,0,0,0,0
122,2000,2,0,10,1,1,0,0,1
122,2000,3,0,2,2,1,1,0,0
122,2000,4,2,5,3,0,0,2,0
122,2001,1,2,3,0,0,1,0,0
122,2001,2,0,5,0,0,0,0,0
122,2001,3,2,12,3,2,0,0,1
122,2001,4,3,2,0,0,0,0,0
122,2002,1,1,8,0,0,0,0,0
122,2002,2,0,3,0,0,0,0,2
122,2002,3,2,8,0,1,0,0,1
122,2002,4,1,5,0,1,1,0,1
122,2003,1,1,7,0,1,0,0,1
122,2003,2,0,2,1,0,0,0,0
122,2003,3,6,4,0,0,0,0,0
122,2003,4,0,3,1,1,0,0,0
122,2004,1,0,2,0,1,0,0,0
122,2004,2,1,2,0,2,0,0,0
122,2004,3,1,6,1,0,0,0,1
122,2004,4,1,4,0,0,0,0,0
122,2005,1,3,10,0,1,0,0,2
122,2005,2,1,7,0,1,1,0,1
122,2005,3,0,4,0,3,0,0,0
122,2005,4,0,3,0,0,0,0,1
122,2006,1,2,5,0,0,0,0,0
122,2006,2,1,1,0,1,0,0,1
122,2006,3,0,1,1,0,0,0,1
122,2006,4,0,4,0,0,0,0,0
122,2007,1,1,0,0,0,0,0,2
122,2007,2,0,2,0,1,0,0,1
122,2007,3,1,4,0,0,0,0,1
122,2007,4,1,6,0,0,0,0,0
122,2008,1,0,0,0,1,0,0,0
122,2008,2,0,3,0,0,0,0,0
122,2008,3,0,1,1,1,0,0,0
122,2008,4,2,6,1,0,1,0,0
122,2009,1,0,4,1,3,0,0,0
122,2009,2,1,4,0,0,0,0,0
122,2009,3,0,1,0,0,0,0,0
122,2009,4,1,1,0,1,0,0,0
122,2010,1,1,1,0,0,0,0,1
122,2010,2,1,1,0,0,0,0,0
122,2010,3,2,1,0,0,0,0,0
122,2010,4,0,3,1,0,0,0,0
122,2011,1,2,14,0,0,1,0,1
122,2011,2,1,4,0,1,1,0,1
122,2011,3,0,1,0,0,1,0,0
122,2011,4,0,2,0,1,1,0,1
122,2012,1,3,3,0,2,0,0,0
122,2012,2,3,0,1,1,0,0,1
122,2012,3,0,4,0,0,1,0,0
122,2012,4,0,0,0,3,0,0,1
122,2013,1,0,0,0,0,2,0,0
122,2013,2,0,4,1,0,1,0,0
122,2013,3,0,0,0,1,1,0,0
122,2013,4,0,1,1,1,0,0,0
