Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1995Q1,0100,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,6
1995Q1,0101,1,0,7,0,6,1,0,2,5,14,6,1,0,1,3,0,12,0,58
1995Q1,0105,1,2,1,0,2,0,0,0,0,5,0,0,0,0,0,0,4,0,14
1995Q1,0109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995Q1,0111,1,7,3,1,21,2,1,0,11,48,8,7,3,3,19,0,40,0,174
1995Q1,0112,1,1,0,0,1,0,0,0,2,9,2,2,0,0,4,0,0,0,21
1995Q1,0119,1,3,0,5,4,0,1,0,9,23,5,6,1,0,4,0,19,0,80
1995Q1,0121,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,3,0,10
1995Q1,0122,1,0,0,0,1,0,0,0,1,15,1,1,0,0,3,0,4,0,26
1995Q1,0123,1,1,0,1,4,0,0,0,1,7,1,4,2,0,4,0,3,0,28
1995Q1,0124,1,0,0,2,3,1,1,0,0,2,3,6,0,0,20,0,4,0,42
1995Q1,0127,1,1,1,0,2,0,0,0,2,5,1,1,0,1,2,0,2,0,18
1995Q1,0128,1,3,0,0,3,1,0,0,1,11,5,4,0,1,8,0,2,1,40
1995Q1,0129,1,0,0,1,1,0,0,0,0,18,3,1,0,0,2,0,3,0,29
1995Q1,0131,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5
1995Q1,0132,1,0,2,0,3,0,0,0,2,26,1,0,0,0,3,0,4,0,41
1995Q1,0133,1,1,0,2,5,0,0,1,2,7,1,1,0,0,1,0,3,0,24
1995Q1,0134,1,3,0,1,1,0,0,0,3,2,0,0,1,2,9,0,0,0,22
1995Q1,0135,1,0,0,0,13,2,0,0,4,8,0,0,0,0,8,0,1,0,36
1995Q1,0138,1,4,1,1,3,0,0,0,1,33,6,13,1,1,11,0,3,0,78
1995Q1,0139,1,0,1,1,1,0,0,0,2,17,2,4,0,0,1,0,4,0,33
1995Q1,0141,1,1,1,0,0,0,0,0,0,1,0,2,0,0,3,0,1,0,9
1995Q1,0142,1,2,0,4,2,1,0,0,5,41,4,11,1,0,14,0,8,1,94
1995Q1,0143,1,6,0,0,7,3,0,0,6,1,0,3,2,1,32,0,2,0,63
1995Q1,0144,1,2,2,0,9,3,0,1,11,1,0,0,2,0,2,0,1,0,34
1995Q1,0145,1,0,0,1,12,0,0,0,1,6,0,1,0,0,1,0,0,0,22
1995Q1,0146,1,7,1,0,2,0,0,0,8,12,1,7,0,0,7,0,0,0,45
1995Q1,0147,1,0,0,0,2,0,0,0,6,3,0,0,1,0,5,0,1,0,18
1995Q1,0148,1,1,1,2,3,1,1,0,10,6,1,1,0,0,1,0,0,0,28
1995Q1,0151,1,2,0,1,0,1,0,0,0,3,0,4,0,0,4,0,1,0,16
1995Q1,0152,1,6,0,4,7,2,0,1,2,15,6,26,4,1,11,0,6,0,91
1995Q1,0153,1,2,12,1,23,2,0,2,12,6,0,9,4,1,24,0,1,2,101
1995Q1,0154,1,3,3,0,8,1,1,0,8,5,0,1,1,1,4,0,3,0,39
1995Q1,0155,1,0,0,0,5,0,0,0,2,2,3,1,0,0,6,0,1,0,20
1995Q1,0156,1,0,1,0,13,1,0,0,17,2,2,0,0,0,7,0,1,0,44
1995Q1,0157,1,6,1,0,8,1,1,1,12,3,1,3,0,1,4,0,1,0,43
1995Q1,0158,1,5,2,0,9,1,0,0,9,6,1,2,0,0,5,0,4,0,44
1995Q1,0159,1,6,2,0,4,2,0,0,4,26,4,4,0,0,0,0,7,0,59
1995Q1,0161,1,3,0,0,1,0,0,0,1,22,1,0,1,0,19,0,5,0,53
1995Q1,0162,1,4,3,1,1,4,0,0,2,29,4,9,0,0,32,0,7,0,96
1995Q1,0163,1,10,1,1,7,2,0,0,9,8,1,3,5,0,35,0,1,0,83
1995Q1,0164,1,2,2,1,5,3,0,0,8,8,1,0,1,0,2,0,0,0,33
1995Q1,0165,1,1,0,1,4,0,0,0,2,3,0,0,1,1,0,0,0,0,13
1995Q1,0166,1,0,1,0,1,1,0,0,2,5,2,0,1,1,2,0,0,0,16
1995Q1,0171,1,1,1,2,2,3,0,1,6,8,2,1,0,0,2,0,1,0,30
1995Q1,0174,1,10,4,0,4,2,1,0,3,10,1,3,2,0,8,0,0,0,48
1995Q1,0176,1,16,0,2,7,2,0,0,7,30,6,13,1,0,14,0,4,0,102
1995Q1,0181,1,0,0,1,0,0,0,0,1,8,1,4,1,0,9,0,10,0,35
1995Q1,0182,1,15,6,1,7,1,0,0,4,36,7,2,2,1,11,0,13,0,106
1995Q1,0185,1,19,0,3,11,6,0,0,5,72,5,14,10,0,27,0,13,0,185
1995Q1,0191,1,0,0,0,0,2,0,0,1,4,0,0,0,0,1,0,3,0,11
1995Q1,0192,1,6,3,3,1,3,1,0,13,23,8,3,1,0,9,0,12,0,86
1995Q1,0195,1,17,1,2,5,3,0,1,10,22,2,5,0,1,5,0,14,0,88
1995Q1,0211,2,0,7,6,12,2,0,1,9,20,5,2,1,0,13,0,34,1,113
1995Q1,0212,2,1,12,2,9,4,0,0,28,17,5,3,0,0,8,0,27,0,116
1995Q1,0213,2,1,16,4,6,7,0,1,21,17,4,0,0,0,7,0,35,0,119
1995Q1,0214,2,2,6,1,6,1,1,0,21,11,5,4,0,0,2,0,23,1,84
