QUARTER,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE THEFT,AUTO  THEFT,BUNCO,TOTAL
1997Q1,1051,10,1,5,1,3,2,1,0,6,7,5,2,0,0,3,0,7,0,43
1997Q1,1052,10,0,2,1,2,0,0,0,7,7,3,2,0,0,6,0,10,0,40
1997Q1,1053,10,8,3,0,3,3,0,0,0,4,1,10,0,0,53,0,6,0,91
1997Q1,1054,10,1,4,0,1,2,0,1,1,6,6,3,0,0,2,0,5,0,32
1997Q1,1055,10,3,2,0,2,2,0,0,1,8,2,2,0,0,3,0,2,0,27
1997Q1,1056,10,0,3,1,0,3,0,1,6,7,4,4,0,0,11,0,8,0,48
1997Q1,1057,10,24,4,1,4,4,0,0,3,8,4,20,0,0,94,0,24,0,190
1997Q1,1058,10,6,2,9,1,1,0,1,2,10,4,8,0,0,31,0,7,0,82
1997Q1,1059,10,0,3,1,1,1,0,1,7,12,1,2,0,0,6,0,23,0,58
1997Q1,1061,10,0,4,0,0,1,0,0,1,5,1,1,0,0,0,0,11,0,24
1997Q1,1062,10,0,0,0,0,1,0,0,2,0,2,1,0,0,2,0,3,0,11
1997Q1,1063,10,9,9,3,0,3,0,0,6,19,5,4,0,0,11,0,8,0,77
1997Q1,1064,10,1,15,6,1,1,0,0,3,10,2,15,0,0,13,0,15,0,82
1997Q1,1065,10,0,4,1,0,0,0,0,1,0,1,4,0,0,5,0,1,0,17
1997Q1,1066,10,1,0,1,0,1,0,0,4,3,1,4,0,0,0,0,4,0,19
1997Q1,1067,10,1,0,0,1,1,0,0,6,4,1,2,0,0,0,0,10,0,26
1997Q1,1068,10,0,4,1,1,0,0,0,3,12,4,5,0,0,3,0,14,0,47
1997Q1,1069,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
1997Q1,1071,10,0,3,2,0,1,0,0,2,4,1,2,0,0,6,0,7,0,28
1997Q1,1072,10,4,0,1,1,2,0,0,3,2,1,1,0,0,3,0,2,0,20
1997Q1,1073,10,1,1,2,1,1,0,1,4,11,2,4,0,0,5,0,7,0,40
1997Q1,1074,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1997Q1,1075,10,9,6,4,0,3,0,0,4,14,4,8,0,0,8,0,12,0,72
1997Q1,1076,10,0,7,0,3,3,0,0,3,12,2,3,0,0,4,0,18,0,55
1997Q1,1077,10,1,3,0,0,1,0,1,3,9,3,6,0,1,11,0,14,0,53
1997Q1,1078,10,2,4,1,2,1,0,0,2,9,2,4,0,0,10,0,8,0,45
1997Q1,1079,10,1,1,0,0,0,0,0,4,11,3,3,0,0,5,0,4,0,32
1997Q1,1081,10,1,5,2,0,2,0,1,1,17,4,10,0,0,9,0,9,0,61
1997Q1,1082,10,0,10,0,0,0,0,0,5,4,1,2,0,0,5,0,5,0,32
1997Q1,1083,10,6,6,2,1,4,0,0,4,11,3,9,0,0,14,0,9,0,69
1997Q1,1084,10,6,7,2,0,2,0,0,1,4,2,3,0,0,7,0,4,0,38
1997Q1,1085,10,5,7,2,7,3,0,0,9,6,3,12,0,0,20,0,16,0,90
1997Q1,1086,10,4,6,2,2,3,0,0,0,7,3,3,1,0,4,0,5,0,40
