Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1994Q1,0100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1994Q1,0105,1,0,1,1,1,0,0,0,1,6,1,0,0,0,1,0,2,0,14
1994Q1,0109,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1994Q1,0110,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1994Q1,0111,1,4,2,6,41,9,0,0,13,80,13,7,12,3,23,0,26,0,239
1994Q1,0112,1,1,0,0,3,0,0,0,2,13,1,1,0,0,5,0,1,0,27
1994Q1,0119,1,7,0,1,12,3,1,0,8,24,8,4,1,0,9,1,18,1,98
1994Q1,0121,1,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,1,0,9
1994Q1,0122,1,0,0,2,0,0,0,0,0,29,1,4,0,0,2,0,0,0,38
1994Q1,0123,1,0,0,1,3,1,0,0,1,28,1,0,1,1,1,0,2,0,40
1994Q1,0124,1,2,0,8,6,1,0,1,5,11,2,9,0,2,28,0,4,0,79
1994Q1,0127,1,0,0,1,4,0,0,0,1,10,1,0,0,0,2,0,0,0,19
1994Q1,0128,1,6,1,0,3,2,0,0,1,29,4,8,0,2,9,0,1,0,66
1994Q1,0129,1,3,0,3,1,1,0,0,0,20,0,1,0,0,8,0,4,0,41
1994Q1,0131,1,0,0,0,1,0,0,0,0,5,2,1,0,0,0,0,0,0,9
1994Q1,0132,1,1,0,2,1,0,0,0,0,64,3,1,1,0,3,0,3,0,79
1994Q1,0133,1,2,0,0,4,0,0,0,2,11,2,2,0,0,1,0,0,0,24
