quarter,RD,division,burg.bus,burg.res,burg.oth,robb.st,robb.oth,murder,rape,aggr.assault,burg.from.auto,theft.from.auto,grand.theft,theft.from.pers,purse.snatch,other.theft,bike.theft,auto.theft,bunco,total
1989Q1,0100,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,4
1989Q1,0102,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1989Q1,0105,1,0,5,1,2,2,0,0,0,7,0,1,1,1,0,0,6,0,26
1989Q1,0106,1,29,13,7,17,7,1,1,14,153,6,12,14,8,10,1,63,0,356
1989Q1,0107,1,6,0,2,5,0,1,0,14,43,2,6,2,1,8,0,36,0,126
1989Q1,0111,1,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,14
1989Q1,0112,1,1,1,1,1,0,0,0,0,18,0,0,0,0,0,0,1,0,23
1989Q1,0114,1,2,0,4,22,2,0,2,11,103,2,3,3,2,13,0,17,0,186
1989Q1,0118,1,3,0,0,2,0,0,0,0,23,2,3,2,0,6,0,5,0,46
1989Q1,0122,1,2,3,0,0,0,0,0,0,4,1,1,0,0,0,0,2,0,13
1989Q1,0124,1,0,1,2,1,0,0,0,4,50,0,1,0,0,2,1,9,0,71
1989Q1,0125,1,3,0,2,12,1,1,1,6,23,1,2,2,1,6,0,8,0,69
1989Q1,0127,1,7,0,4,5,0,1,0,3,21,2,1,1,1,9,0,5,0,60
1989Q1,0128,1,6,0,3,4,1,0,0,3,61,7,6,2,1,11,0,9,0,114
1989Q1,0129,1,3,0,4,1,0,0,0,4,20,1,1,0,0,0,0,11,0,45
1989Q1,0131,1,1,0,0,3,0,0,0,0,9,1,5,0,1,0,0,1,0,21
1989Q1,0132,1,2,0,2,11,1,0,2,6,63,7,13,0,1,13,0,7,0,128
1989Q1,0133,1,3,0,2,9,1,0,0,2,9,0,2,6,0,1,0,4,1,40
1989Q1,0136,1,8,1,0,23,1,2,0,15,28,0,0,3,0,4,1,5,0,91
1989Q1,0138,1,7,0,4,11,0,0,1,14,96,5,3,0,0,12,1,5,0,159
1989Q1,0139,1,3,0,4,1,0,0,1,3,43,8,2,0,0,4,0,8,0,77
1989Q1,0141,1,1,0,0,2,0,0,0,1,6,2,8,0,0,6,0,5,0,31
1989Q1,0143,1,4,1,0,17,1,0,0,6,6,0,2,6,0,19,0,1,0,63
1989Q1,0144,1,5,1,0,18,4,0,3,13,11,1,1,1,2,6,0,2,1,69
1989Q1,0145,1,7,1,3,42,3,0,1,13,21,0,1,3,0,6,0,1,0,102
1989Q1,0146,1,4,1,0,12,0,0,1,34,29,5,0,1,0,6,0,5,0,98
1989Q1,0147,1,1,0,0,9,0,0,1,15,10,1,0,0,0,1,0,2,0,40
1989Q1,0148,1,4,1,1,10,0,0,4,19,12,3,5,2,0,2,0,7,0,70
1989Q1,0152,1,14,0,7,15,12,0,2,7,37,4,26,8,1,21,0,7,1,162
1989Q1,0153,1,9,2,1,42,6,1,1,16,21,3,13,30,3,40,0,7,3,198
1989Q1,0154,1,2,0,2,31,3,2,1,23,19,4,3,7,0,6,0,2,0,105
1989Q1,0155,1,3,1,2,13,3,0,0,14,25,3,5,2,2,7,0,5,0,85
1989Q1,0156,1,2,0,0,7,0,0,0,12,8,3,0,1,0,7,0,2,0,42
1989Q1,0157,1,1,1,0,10,4,1,1,16,9,3,1,1,0,5,0,7,0,60
1989Q1,0158,1,3,4,5,12,4,0,1,13,27,2,0,1,0,5,0,12,0,89
1989Q1,0159,1,19,1,4,7,4,1,0,4,42,8,3,0,0,5,1,8,0,107
1989Q1,0164,1,5,1,1,18,2,0,1,4,26,2,6,3,0,11,0,3,0,83
1989Q1,0165,1,3,0,2,23,0,0,0,7,31,4,9,9,1,11,0,5,0,105
1989Q1,0166,1,0,4,0,5,0,0,0,4,11,1,1,1,0,0,1,0,0,28
1989Q1,0171,1,2,0,4,0,1,0,0,2,30,2,8,1,0,12,0,6,0,68
1989Q1,0172,1,13,1,5,10,6,0,2,18,81,6,10,3,0,89,0,21,0,265
1989Q1,0174,1,20,0,7,24,4,0,0,14,22,1,11,12,3,17,0,10,4,149
1989Q1,0176,1,13,0,2,10,2,0,0,6,25,0,5,5,0,9,0,6,0,83
1989Q1,0177,1,19,0,2,4,2,0,0,6,80,2,8,1,2,14,0,11,0,151
1989Q1,0181,1,1,1,1,2,0,0,0,10,61,1,4,1,0,5,0,23,0,110
1989Q1,0182,1,0,0,1,0,0,0,0,2,21,4,1,0,0,1,0,9,0,39
1989Q1,0184,1,18,1,3,10,1,1,1,13,63,4,2,0,0,11,0,40,0,168
1989Q1,0185,1,68,0,8,10,7,0,1,12,117,10,16,17,4,22,0,19,0,311
1989Q1,0192,1,5,0,1,2,2,0,0,2,22,2,3,1,0,3,0,20,0,63
1989Q1,0194,1,10,1,9,3,3,0,1,13,41,6,11,2,0,4,0,44,0,148
1989Q1,0195,1,26,0,5,9,5,0,0,6,44,5,8,1,0,7,0,16,1,133
