quarter,RD,division,burg.bus,burg.res,burg.oth,robb.st,robb.oth,murder,rape,aggr.assault,burg.from.auto,theft.from.auto,grand.theft,theft.from.pers,purse.snatch,other.theft,bike.theft,auto.theft,bunco,total
1999Q1,0101,1,0,2,2,1,0,0,0,6,7,2,1,1,0,3,0,11,0,36
1999Q1,0105,1,0,4,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,10
1999Q1,0109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999Q1,0111,1,2,3,1,12,4,0,0,6,35,9,7,4,0,12,0,8,0,103
1999Q1,0112,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,6
1999Q1,0119,1,2,1,0,4,2,0,0,1,6,0,7,2,0,8,0,9,0,42
1999Q1,0121,1,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,0,9
1999Q1,0122,1,0,0,0,0,0,0,0,0,8,2,1,1,0,2,0,0,1,15
1999Q1,0123,1,0,0,1,2,1,0,0,2,5,0,2,0,0,4,0,0,0,17
1999Q1,0124,1,1,0,2,0,0,0,0,0,4,0,4,0,1,6,0,1,0,19
1999Q1,0127,1,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,1,7
1999Q1,0128,1,4,0,2,1,0,0,0,0,15,3,4,0,0,5,0,0,0,34
1999Q1,0129,1,1,0,0,0,0,0,1,2,7,2,0,0,0,5,0,0,0,18
1999Q1,0131,1,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,7
1999Q1,0132,1,1,3,0,1,0,0,0,1,14,3,2,1,0,4,0,2,0,32
1999Q1,0133,1,1,0,0,3,0,0,0,0,4,1,1,0,0,1,0,1,0,12
1999Q1,0134,1,2,0,3,0,3,0,0,2,2,1,1,3,1,5,0,0,0,23
1999Q1,0135,1,3,2,0,8,3,0,0,2,1,0,3,0,0,3,0,1,0,26
1999Q1,0138,1,3,2,2,1,1,0,1,0,25,2,1,0,0,6,0,0,0,44
1999Q1,0139,1,0,0,2,0,0,0,0,0,13,5,3,0,0,3,0,3,0,29
1999Q1,0141,1,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,1,0,7
1999Q1,0142,1,4,0,3,3,1,0,0,3,13,6,12,1,0,13,0,3,0,62
1999Q1,0143,1,5,0,1,5,2,0,0,0,1,2,0,4,0,2,0,0,0,22
1999Q1,0144,1,0,9,0,5,3,0,2,7,0,0,3,1,0,3,0,0,0,33
1999Q1,0145,1,1,1,0,4,1,0,0,4,1,1,0,0,0,3,0,2,0,18
1999Q1,0146,1,4,0,0,4,0,0,0,5,2,3,2,2,0,2,0,0,0,24
1999Q1,0147,1,0,3,0,1,1,0,0,4,2,1,1,0,0,3,0,1,0,17
1999Q1,0148,1,0,0,0,6,0,0,0,3,1,3,1,0,0,1,0,0,0,15
1999Q1,0151,1,0,1,1,1,0,0,0,0,2,2,3,0,0,4,0,1,1,16
1999Q1,0152,1,4,1,1,2,6,0,0,1,19,4,18,0,1,17,0,2,1,77
1999Q1,0153,1,5,6,0,7,11,0,2,14,3,4,7,4,0,34,0,1,0,98
1999Q1,0154,1,0,0,0,11,1,0,1,7,5,6,1,3,1,4,0,0,0,40
1999Q1,0155,1,0,1,1,2,2,0,0,3,2,3,1,0,0,6,0,2,0,23
1999Q1,0156,1,1,0,1,10,1,0,2,9,3,0,5,2,0,15,0,0,0,49
1999Q1,0157,1,1,2,0,10,1,1,0,18,3,4,2,1,0,16,0,1,0,60
1999Q1,0158,1,3,1,2,3,2,0,1,8,7,6,4,1,0,3,0,0,0,41
1999Q1,0159,1,7,0,3,6,1,0,0,6,8,6,5,0,0,3,0,5,0,50
1999Q1,0161,1,0,1,0,2,0,0,0,2,6,2,7,0,0,6,0,1,0,27
1999Q1,0162,1,9,1,0,5,2,0,0,8,27,2,9,3,0,64,0,0,0,130
1999Q1,0163,1,5,0,2,8,1,0,0,3,7,4,7,4,1,7,0,2,0,51
1999Q1,0164,1,3,3,0,2,2,1,0,8,3,1,1,2,0,6,0,2,0,34
1999Q1,0165,1,2,0,0,3,0,0,0,2,0,1,0,1,0,3,0,0,0,12
1999Q1,0166,1,0,2,0,0,2,0,0,5,2,0,0,0,0,8,0,2,0,21
1999Q1,0171,1,1,4,0,1,0,0,0,2,9,0,2,0,0,3,0,3,0,25
1999Q1,0174,1,11,1,0,5,1,0,0,3,2,2,1,2,0,1,0,1,0,30
1999Q1,0176,1,2,0,0,3,0,0,1,3,10,3,1,2,1,4,0,4,0,34
1999Q1,0181,1,0,0,1,0,1,0,1,1,4,5,10,1,0,10,0,6,0,40
1999Q1,0182,1,1,2,1,5,2,0,0,13,29,7,5,0,0,8,0,3,0,76
1999Q1,0185,1,8,0,1,5,3,0,0,8,21,13,13,16,1,18,0,9,0,116
1999Q1,0191,1,0,0,0,1,1,0,0,0,4,1,3,0,0,0,0,4,0,14
1999Q1,0192,1,1,3,2,2,3,0,0,5,12,4,3,0,0,6,0,17,0,58
1999Q1,0195,1,8,1,0,1,0,0,0,3,11,4,2,0,0,2,0,9,0,41
1999Q1,0200,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1999Q1,0211,2,2,1,3,6,2,0,1,12,2,7,2,2,0,8,0,7,0,55
1999Q1,0212,2,0,2,0,8,5,0,1,19,5,11,2,0,0,3,0,8,0,64
1999Q1,0213,2,1,10,1,1,1,0,0,13,10,8,1,0,0,5,0,12,0,63
1999Q1,0214,2,0,4,1,4,1,0,0,11,8,9,2,1,0,3,0,9,0,53
1999Q1,0215,2,0,3,2,3,1,0,2,9,9,9,2,2,0,6,0,7,0,55
1999Q1,0217,2,2,5,1,8,3,0,0,10,3,10,2,0,0,4,0,5,0,53
1999Q1,0219,2,0,2,0,2,1,0,0,4,3,7,0,0,0,0,0,3,0,22
1999Q1,0221,2,0,8,0,7,0,0,0,17,11,10,1,0,0,5,0,14,0,73
1999Q1,0222,2,0,1,2,5,1,0,0,5,7,4,1,1,0,6,0,9,0,42
1999Q1,0224,2,0,2,0,2,0,0,0,10,3,2,1,0,0,4,0,3,0,27
1999Q1,0231,2,2,2,0,4,2,0,0,13,8,5,0,0,0,5,0,7,0,48
1999Q1,0232,2,2,6,0,3,3,0,2,21,6,7,1,0,0,8,0,5,0,64
1999Q1,0233,2,7,7,1,10,2,0,1,13,12,8,1,1,0,9,0,13,0,85
1999Q1,0234,2,0,17,0,2,2,0,0,18,12,10,2,2,0,7,0,12,0,84
1999Q1,0235,2,1,11,2,4,4,0,0,15,11,11,2,0,0,4,0,5,0,70
1999Q1,0236,2,0,2,2,3,2,1,1,10,4,9,1,0,0,3,1,8,0,47
1999Q1,0237,2,1,4,5,5,3,1,1,12,3,5,1,0,0,11,0,7,0,59
1999Q1,0238,2,0,2,0,2,0,0,0,6,2,8,2,0,0,0,0,1,0,23
1999Q1,0239,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3
1999Q1,0241,2,1,6,0,12,5,0,1,26,12,5,2,0,0,2,0,7,0,79
1999Q1,0242,2,4,7,2,10,3,2,0,15,29,7,7,2,0,20,0,9,0,117
1999Q1,0243,2,2,4,2,7,9,0,1,7,16,13,3,2,1,31,0,10,1,109
1999Q1,0244,2,0,12,1,8,4,0,1,19,4,4,4,0,0,5,0,10,0,72
1999Q1,0245,2,0,7,4,10,4,1,0,30,21,5,3,0,1,3,0,7,0,96
1999Q1,0246,2,2,3,0,10,2,0,2,24,8,7,1,0,1,16,0,6,1,83
1999Q1,0247,2,0,4,0,6,0,0,1,14,2,1,0,0,0,2,0,5,0,35
1999Q1,0249,2,1,0,1,5,3,0,0,4,10,5,1,4,0,8,0,4,0,46
1999Q1,0251,2,3,1,3,6,2,0,1,29,20,7,4,3,1,9,0,6,0,95
1999Q1,0252,2,0,4,1,3,2,0,1,12,10,7,1,1,0,5,0,7,0,54
1999Q1,0256,2,1,1,1,5,3,0,0,7,1,1,2,0,0,3,0,5,0,30
1999Q1,0257,2,0,1,1,7,2,0,2,11,5,5,1,1,0,6,0,4,0,46
1999Q1,0264,2,1,5,0,6,2,0,1,13,8,8,2,0,0,2,0,5,0,53
1999Q1,0266,2,1,1,0,5,3,1,0,17,1,4,0,1,1,9,0,4,0,48
1999Q1,0267,2,1,4,2,5,1,0,1,8,2,1,1,0,0,3,0,2,0,31
1999Q1,0269,2,0,2,1,11,2,0,1,11,5,2,2,1,0,1,0,2,0,41
1999Q1,0275,2,2,4,0,11,4,0,0,20,8,17,5,0,0,1,0,25,0,97
1999Q1,0276,2,0,2,1,3,4,0,0,16,2,5,0,2,1,1,0,4,0,41
1999Q1,0279,2,0,0,1,1,0,0,0,3,2,0,0,0,0,2,0,1,0,10
1999Q1,0281,2,1,0,2,1,2,1,1,6,1,5,1,1,0,6,0,5,0,33
1999Q1,0282,2,2,1,2,2,1,0,0,16,3,11,1,1,0,7,0,10,0,57
1999Q1,0286,2,0,3,0,7,1,0,1,14,10,7,1,0,0,1,0,6,0,51
1999Q1,0289,2,2,1,0,0,0,0,0,0,4,2,1,1,0,2,0,2,0,15
1999Q1,0291,2,1,1,0,0,0,0,0,3,0,2,1,0,0,2,0,0,0,10
1999Q1,0292,2,2,2,1,1,0,0,0,1,0,2,1,0,0,3,0,1,0,14
1999Q1,0296,2,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,6
1999Q1,0299,2,0,3,0,3,1,0,1,11,1,7,2,0,0,4,0,7,0,40
1999Q1,0301,3,0,2,0,0,0,0,0,2,0,4,1,0,0,3,0,2,0,14
1999Q1,0303,3,0,0,1,0,2,0,0,5,3,0,0,0,0,1,0,0,0,12
1999Q1,0305,3,0,0,0,0,0,0,0,1,3,2,1,1,0,1,0,2,0,11
1999Q1,0307,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3
1999Q1,0309,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
1999Q1,0311,3,1,4,2,3,1,1,1,16,4,4,2,0,0,4,0,7,0,50
1999Q1,0312,3,0,1,0,3,1,0,1,18,1,2,0,0,1,3,0,8,0,39
1999Q1,0313,3,0,1,0,0,0,0,0,4,0,1,0,1,0,2,0,5,0,14
1999Q1,0314,3,0,5,2,2,1,0,1,7,7,6,0,0,0,2,0,10,0,43
1999Q1,0315,3,0,2,0,0,1,0,1,5,4,6,3,1,1,4,0,6,0,34
1999Q1,0316,3,0,0,0,3,0,0,0,7,3,6,2,0,0,1,0,6,0,28
1999Q1,0317,3,0,3,2,3,1,0,0,7,1,5,1,0,0,2,0,10,0,35
1999Q1,0318,3,0,0,0,1,0,0,0,1,3,4,0,0,0,0,0,3,0,12
1999Q1,0319,3,1,2,3,1,2,0,0,6,4,3,3,0,0,3,0,10,0,38
1999Q1,0321,3,2,1,1,3,2,0,0,6,3,4,5,2,1,34,0,6,0,70
1999Q1,0326,3,0,6,0,3,1,1,0,13,6,16,1,0,0,8,0,7,0,62
1999Q1,0327,3,0,3,0,4,2,0,0,6,15,7,2,0,0,17,0,12,1,69
1999Q1,0328,3,0,4,4,4,0,0,0,2,22,7,9,1,0,25,0,4,0,82
1999Q1,0329,3,0,0,0,0,0,0,0,1,1,1,1,0,0,4,0,2,0,10
1999Q1,0331,3,0,1,1,4,2,0,0,5,5,1,1,1,0,3,0,9,0,33
1999Q1,0332,3,0,2,0,0,1,1,0,4,1,3,1,0,0,1,0,7,0,21
1999Q1,0333,3,0,6,0,2,3,2,0,8,2,6,0,0,0,4,0,3,0,36
1999Q1,0334,3,0,9,0,3,1,0,0,10,0,6,1,1,0,4,0,5,0,40
1999Q1,0335,3,0,7,1,0,0,0,0,10,0,8,1,0,0,2,0,5,0,34
1999Q1,0336,3,0,4,3,3,0,0,0,7,2,1,1,1,1,3,0,8,0,34
1999Q1,0337,3,0,3,0,3,1,0,0,11,5,3,0,0,0,3,0,6,0,35
1999Q1,0338,3,0,7,1,4,1,0,0,5,8,4,8,1,0,14,0,9,0,62
1999Q1,0341,3,2,4,1,2,1,0,0,4,0,3,0,0,0,1,0,5,0,23
1999Q1,0343,3,0,2,0,0,2,0,0,0,1,0,3,1,1,0,0,3,0,13
1999Q1,0351,3,2,0,2,2,2,0,0,3,8,0,1,0,0,19,0,5,0,44
1999Q1,0353,3,2,6,0,2,1,0,0,6,0,0,1,0,0,3,0,3,0,24
1999Q1,0354,3,0,4,0,1,2,0,0,15,4,3,2,0,0,3,0,6,0,40
1999Q1,0355,3,0,9,3,3,1,0,0,7,9,3,3,1,0,3,0,5,0,47
1999Q1,0356,3,2,10,0,2,1,0,2,16,2,3,4,0,0,0,0,4,0,46
1999Q1,0357,3,0,6,1,8,2,0,2,20,9,5,2,1,0,8,0,16,0,80
1999Q1,0358,3,0,6,1,4,2,0,1,0,24,22,24,1,0,121,0,9,0,215
1999Q1,0359,3,0,0,0,3,0,2,0,1,4,2,1,0,0,3,0,5,0,21
1999Q1,0361,3,1,5,0,2,2,0,2,17,14,9,3,0,1,12,0,17,0,85
1999Q1,0362,3,0,12,1,8,3,0,1,40,13,12,3,0,0,8,0,21,1,123
1999Q1,0363,3,2,2,3,7,4,1,0,20,12,16,11,2,0,93,0,22,0,195
1999Q1,0373,3,2,2,1,1,0,0,0,10,5,3,1,0,0,7,0,7,0,39
1999Q1,0374,3,1,3,0,3,2,0,1,6,1,2,1,0,0,3,0,8,0,31
1999Q1,0375,3,0,7,0,3,3,0,1,8,3,5,2,0,0,7,0,6,0,45
1999Q1,0376,3,1,5,1,10,1,0,0,16,5,12,1,0,0,7,0,6,0,65
1999Q1,0377,3,0,13,0,10,2,0,0,27,4,15,2,1,1,8,0,14,0,97
1999Q1,0378,3,0,0,1,3,1,0,1,0,5,6,0,0,0,9,0,7,0,33
1999Q1,0391,3,0,3,1,0,2,0,0,10,6,5,1,1,0,3,0,6,0,38
1999Q1,0392,3,0,10,3,9,4,0,2,16,3,5,2,0,0,6,0,13,0,73
1999Q1,0393,3,3,7,11,7,5,0,1,16,3,2,7,1,0,15,0,19,0,97
1999Q1,0394,3,0,0,1,1,0,0,0,4,1,4,1,0,0,3,0,4,0,19
1999Q1,0395,3,0,9,1,4,7,0,2,15,5,8,6,0,0,10,0,10,0,77
1999Q1,0397,3,2,9,2,13,12,1,2,19,10,20,4,0,1,11,0,14,0,120
1999Q1,0398,3,2,19,3,9,5,1,1,17,17,23,2,0,0,9,0,10,0,118
1999Q1,0399,3,0,4,0,2,1,0,0,3,4,9,0,0,0,7,0,3,0,33
1999Q1,0400,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999Q1,0401,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4
1999Q1,0402,4,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,3,0,10
1999Q1,0404,4,0,0,1,0,1,0,0,2,2,3,3,0,0,1,0,5,0,18
1999Q1,0406,4,0,2,0,0,0,0,0,1,3,7,1,0,0,0,0,4,1,19
1999Q1,0407,4,0,0,0,1,2,0,0,12,1,3,0,0,0,2,1,4,0,26
1999Q1,0408,4,2,3,0,1,1,0,0,10,2,9,1,0,0,0,0,3,0,32
1999Q1,0409,4,3,6,0,3,0,0,0,10,1,7,2,0,0,3,0,4,0,39
1999Q1,0411,4,1,0,0,1,0,0,0,1,3,0,0,0,0,2,0,3,0,11
1999Q1,0412,4,4,0,2,0,2,0,0,4,3,4,0,0,0,5,0,3,0,27
1999Q1,0413,4,0,0,0,0,0,0,0,8,4,2,0,0,0,0,0,4,0,18
1999Q1,0414,4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6
