quarter,RD,division,burg.bus,burg.res,burg.oth,robb.st,robb.oth,murder,rape,aggr.assault,burg.from.auto,theft.from.auto,grand.theft,theft.from.pers,purse.snatch,other.theft,bike.theft,auto.theft,bunco,total
1998Q1,0101,1,1,6,0,4,2,0,1,12,3,2,2,0,0,3,0,13,0,49
1998Q1,0105,1,0,1,0,2,0,0,0,1,3,2,0,0,0,0,0,1,0,10
1998Q1,0111,1,4,1,0,16,4,0,0,6,17,10,9,8,0,18,1,15,0,109
1998Q1,0112,1,2,1,0,2,0,0,0,1,3,1,0,0,0,2,0,1,0,13
1998Q1,0119,1,4,1,1,4,1,0,1,5,12,3,12,2,0,12,0,8,1,67
1998Q1,0121,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,6
1998Q1,0122,1,1,0,1,0,1,0,0,0,11,2,1,1,0,2,0,0,0,20
1998Q1,0123,1,0,0,0,1,0,0,0,0,3,0,1,0,0,3,0,3,0,11
1998Q1,0124,1,0,0,1,1,1,0,0,0,4,2,5,1,0,14,0,1,0,30
1998Q1,0127,1,0,0,0,1,0,0,0,0,3,0,1,0,1,3,0,2,0,11
1998Q1,0128,1,4,2,0,2,0,0,1,1,12,2,9,1,1,8,0,2,0,45
1998Q1,0129,1,1,0,0,2,0,0,1,0,5,1,2,1,0,6,0,1,0,20
1998Q1,0131,1,0,1,0,0,0,0,0,3,5,2,0,0,0,0,0,1,0,12
1998Q1,0132,1,0,1,0,2,0,0,0,2,20,1,3,0,0,1,0,1,0,31
1998Q1,0133,1,0,0,1,2,0,1,0,0,1,1,0,0,0,1,0,1,0,8
1998Q1,0134,1,0,0,0,2,1,0,0,3,5,0,0,2,0,5,0,0,0,18
1998Q1,0135,1,1,0,1,5,1,0,0,4,4,1,1,0,1,3,0,3,0,25
1998Q1,0138,1,1,0,0,4,4,0,0,4,34,4,4,0,0,7,0,2,0,64
1998Q1,0139,1,0,0,1,1,0,0,0,2,17,1,1,0,0,2,0,2,0,27
1998Q1,0141,1,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,8
1998Q1,0142,1,3,1,6,1,0,0,0,0,15,4,17,1,0,13,0,5,0,66
1998Q1,0143,1,1,0,0,4,0,0,0,2,4,0,1,0,0,5,0,0,0,17
