quarter,RD,division,burg.bus,burg.res,burg.oth,robb.st,robb.oth,murder,rape,aggr.assault,burg.from.auto,theft.from.auto,grand.theft,theft.from.pers,purse.snatch,other.theft,bike.theft,auto.theft,bunco,total
1988Q1,100,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3
1988Q1,102,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4
1988Q1,105,1,1,3,0,0,0,0,0,3,9,0,0,1,1,0,0,7,0,25
1988Q1,106,1,23,1,0,16,2,0,0,7,133,13,8,33,5,8,2,79,0,330
1988Q1,107,1,9,1,0,5,0,0,0,10,59,2,0,2,1,9,1,34,0,133
1988Q1,110,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1988Q1,111,1,2,0,0,0,0,0,0,0,6,1,0,0,0,1,0,2,0,12
1988Q1,112,1,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,4,0,17
1988Q1,114,1,6,0,4,10,0,0,0,7,80,5,1,5,2,11,0,20,0,151
1988Q1,118,1,0,0,0,3,0,0,0,0,25,1,0,1,0,1,0,7,0,38
1988Q1,122,1,0,0,1,1,0,0,0,1,3,0,2,0,0,1,0,3,0,12
1988Q1,124,1,1,2,0,7,1,0,0,1,44,3,3,1,0,1,0,11,1,76
1988Q1,125,1,8,0,1,6,1,0,0,4,27,5,8,6,2,7,1,6,0,82
1988Q1,127,1,5,0,0,2,0,0,1,4,19,2,3,2,2,9,0,3,0,52
1988Q1,128,1,3,0,1,1,1,0,0,3,37,3,5,5,0,12,0,8,1,80
1988Q1,129,1,1,0,1,2,1,0,0,2,36,3,0,1,0,0,0,8,0,55
1988Q1,131,1,2,0,0,6,0,0,0,2,3,0,0,0,0,2,0,3,0,18
1988Q1,132,1,3,0,7,15,4,0,1,7,67,6,16,7,1,27,0,12,0,173
1988Q1,133,1,17,0,2,11,1,0,0,6,5,2,2,13,0,11,0,4,0,74
1988Q1,136,1,5,2,0,15,2,1,0,23,27,2,2,5,2,4,0,2,0,92
1988Q1,138,1,7,0,2,16,0,0,0,10,168,8,3,4,2,13,1,8,1,243
1988Q1,139,1,0,0,1,1,0,0,0,3,26,1,0,0,0,2,0,12,0,46
1988Q1,141,1,2,0,1,0,0,0,0,1,2,1,8,1,0,6,0,2,0,24
1988Q1,143,1,11,0,1,23,3,0,1,3,8,2,5,10,0,14,0,1,1,83
