Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1993Q1,1065,10,0,5,0,2,3,0,1,3,3,2,2,0,0,4,1,6,0,32
1993Q1,1066,10,0,4,1,0,3,0,2,6,12,4,4,0,0,6,0,18,0,60
1993Q1,1067,10,4,9,5,1,2,0,0,6,13,1,1,0,0,13,0,12,0,67
1993Q1,1068,10,0,9,2,3,3,0,0,7,13,5,2,0,0,1,0,35,0,80
1993Q1,1069,10,3,12,3,3,0,0,0,5,30,7,2,0,0,2,2,35,0,104
1993Q1,1071,10,0,1,1,1,0,0,0,1,7,1,2,0,0,2,0,8,0,24
1993Q1,1072,10,0,2,2,0,0,0,0,0,5,2,1,0,0,3,1,1,0,17
1993Q1,1073,10,4,6,4,1,0,0,0,3,9,0,1,0,0,3,0,5,0,36
1993Q1,1074,10,6,15,6,2,2,0,1,4,20,1,4,1,0,9,2,19,0,92
1993Q1,1075,10,2,17,12,3,4,0,1,6,42,4,15,0,0,11,4,26,0,147
1993Q1,1076,10,4,9,4,3,8,0,0,13,51,10,5,0,0,6,2,45,0,160
1993Q1,1077,10,7,3,0,3,6,0,0,3,28,5,5,0,0,5,2,17,0,84
1993Q1,1078,10,0,2,0,1,0,0,0,2,1,0,1,0,0,3,1,0,0,11
1993Q1,1079,10,2,4,0,1,2,0,0,2,22,0,5,0,0,5,0,9,0,52
1993Q1,1081,10,0,0,1,0,1,0,0,0,4,2,0,0,0,2,0,2,0,12
1993Q1,1082,10,7,7,0,2,4,0,0,4,12,3,4,0,1,8,0,11,0,63
1993Q1,1083,10,8,13,2,2,3,0,1,5,39,1,6,0,0,11,2,26,0,119
1993Q1,1084,10,15,8,2,2,6,0,1,7,28,6,5,2,0,17,2,17,1,119
1993Q1,1085,10,8,6,2,2,5,0,0,4,16,2,4,0,0,7,2,11,0,69
1993Q1,1086,10,10,4,3,9,11,0,1,3,31,7,5,0,0,28,1,21,0,134
1993Q1,1087,10,5,2,0,2,4,0,0,0,16,3,3,0,0,6,0,11,1,53
1993Q1,1088,10,6,4,0,2,2,0,0,5,8,0,2,0,0,2,0,4,0,35
1993Q1,1089,10,3,5,0,1,1,0,0,3,11,2,2,0,0,7,0,9,0,44
1993Q1,1091,10,4,3,3,0,2,1,0,4,11,3,4,0,0,10,1,10,0,56
1993Q1,1092,10,0,4,2,1,1,0,0,2,5,0,4,0,0,3,2,1,0,25
1993Q1,1093,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3
1993Q1,1094,10,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,12
1993Q1,1095,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1993Q1,1096,10,0,6,1,1,1,0,0,0,2,0,3,0,0,2,0,1,0,17
1993Q1,1097,10,1,5,1,0,0,0,0,0,5,3,5,0,0,0,0,0,0,20
1993Q1,1098,10,0,2,0,1,0,0,0,1,3,2,2,0,0,0,1,0,0,12
1993Q1,1099,10,0,20,2,2,2,0,0,2,7,2,7,0,0,1,1,4,0,50
1993Q1,1100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
1993Q1,1101,11,4,1,10,3,0,0,0,2,28,4,4,0,0,1,0,22,0,79
1993Q1,1102,11,10,10,4,0,2,0,0,6,9,6,3,1,0,1,4,19,0,75
1993Q1,1105,11,1,11,1,1,2,0,0,1,2,2,2,0,0,2,1,14,0,40
1993Q1,1109,11,1,12,7,1,1,0,0,5,8,6,2,0,1,6,0,15,0,65
1993Q1,1112,11,0,11,1,3,1,0,0,3,11,3,4,0,0,3,1,22,0,63
1993Q1,1113,11,6,9,3,1,3,0,0,4,16,2,11,0,0,35,4,33,0,127
1993Q1,1115,11,10,9,2,9,3,0,0,5,11,1,1,0,0,10,4,23,0,88
1993Q1,1117,11,0,7,3,2,0,0,0,12,11,1,1,0,0,7,1,20,0,65
1993Q1,1119,11,1,10,3,6,1,0,0,2,5,7,1,0,1,4,1,16,0,58
1993Q1,1122,11,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,6
1993Q1,1123,11,4,17,7,1,1,0,0,2,10,4,1,0,0,6,4,12,0,69
1993Q1,1124,11,6,21,6,5,1,0,0,15,16,7,3,1,0,24,2,25,0,132
1993Q1,1125,11,3,11,5,6,2,0,0,12,10,3,2,0,0,5,4,23,0,86
1993Q1,1126,11,2,6,0,2,1,0,0,12,15,8,0,0,0,3,1,12,0,62
1993Q1,1127,11,5,18,3,11,7,0,1,32,15,8,3,0,0,4,1,28,0,136
1993Q1,1128,11,4,8,5,9,2,0,0,13,17,4,3,0,0,16,2,21,0,104
1993Q1,1129,11,1,15,3,3,3,0,0,6,20,3,0,0,0,5,0,27,0,86
1993Q1,1132,11,2,4,9,8,6,0,0,6,29,4,4,0,1,10,5,32,0,120
1993Q1,1133,11,7,25,9,3,1,0,1,9,13,6,2,0,0,12,3,24,0,115
1993Q1,1134,11,3,7,7,3,0,0,0,11,12,7,0,0,0,15,2,30,0,97
1993Q1,1135,11,3,28,12,4,4,0,1,10,10,10,1,0,0,5,2,27,0,117
1993Q1,1136,11,3,18,5,4,7,0,2,8,11,3,1,1,1,9,3,25,0,101
1993Q1,1137,11,0,10,12,15,3,2,0,19,7,6,3,0,0,1,2,27,0,107
1993Q1,1138,11,5,10,2,19,8,0,0,17,20,11,1,1,1,10,2,25,0,132
1993Q1,1139,11,4,5,0,3,3,0,0,9,8,1,2,0,0,5,4,19,0,63
1993Q1,1141,11,3,16,2,11,3,0,1,10,19,4,4,1,2,8,0,41,0,125
1993Q1,1142,11,11,13,3,20,16,0,0,5,36,11,4,1,1,17,3,40,0,181
1993Q1,1143,11,1,11,2,14,1,0,1,4,40,6,7,0,1,6,0,42,1,137
1993Q1,1144,11,10,11,8,7,2,0,1,1,22,3,2,0,0,4,5,31,1,108
1993Q1,1145,11,4,11,5,12,3,0,0,9,19,3,3,0,0,23,1,48,0,141
1993Q1,1146,11,4,0,9,1,0,0,0,10,1,3,1,0,0,2,0,7,0,38
1993Q1,1147,11,2,9,2,2,2,2,0,11,6,1,2,0,0,5,0,14,0,58
1993Q1,1148,11,0,12,3,1,2,0,1,13,8,4,3,0,0,6,0,12,0,65
1993Q1,1149,11,10,11,7,18,14,2,0,15,27,5,2,1,0,9,0,35,1,157
1993Q1,1151,11,6,8,1,6,4,2,1,19,6,5,9,3,0,22,0,35,1,128
1993Q1,1152,11,2,3,5,9,2,0,0,5,8,4,2,0,1,6,0,24,1,72
1993Q1,1157,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1993Q1,1158,11,0,5,1,3,0,0,0,2,3,0,3,0,0,1,1,10,0,29
1993Q1,1159,11,3,1,1,3,2,0,0,1,3,3,0,0,1,2,1,2,0,23
1993Q1,1161,11,2,6,0,9,5,0,0,5,11,4,14,0,0,5,1,37,1,100
1993Q1,1162,11,6,2,3,18,7,0,1,18,28,7,5,3,2,27,0,29,1,157
1993Q1,1171,11,6,21,3,14,4,0,1,4,23,4,0,0,0,3,3,41,1,128
1993Q1,1172,11,1,20,8,5,3,0,0,14,14,5,3,1,1,4,0,27,0,106
1993Q1,1173,11,1,16,3,15,2,0,0,14,29,12,3,2,0,19,1,31,0,148
1993Q1,1174,11,0,4,1,0,0,0,0,3,4,2,1,0,0,0,1,3,0,19
1993Q1,1175,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3
1993Q1,1176,11,1,6,2,4,0,0,1,1,1,2,2,0,0,0,0,17,1,38
1993Q1,1177,11,2,7,9,4,5,0,0,28,7,4,2,0,0,2,0,42,1,113
1993Q1,1179,11,5,2,1,4,1,0,0,5,6,2,0,0,0,2,1,14,0,43
1993Q1,1181,11,2,10,2,5,1,0,0,15,13,2,1,0,0,7,1,22,0,81
1993Q1,1184,11,3,8,2,15,5,1,0,8,10,4,2,0,0,7,0,22,0,87
1993Q1,1185,11,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,4
1993Q1,1186,11,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,4
1993Q1,1189,11,1,1,0,2,0,0,0,6,2,1,0,0,1,1,0,8,0,23
1993Q1,1194,11,0,6,0,12,7,0,0,9,18,7,1,1,0,5,1,15,0,82
1993Q1,1195,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1993Q1,1199,11,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,5
1993Q1,1200,12,0,0,0,1,1,0,0,5,1,2,0,0,0,2,0,0,0,12
1993Q1,1201,12,10,16,13,17,6,2,2,24,7,7,4,1,0,6,0,28,0,143
1993Q1,1203,12,4,11,7,26,12,3,1,32,7,11,6,0,0,7,1,27,0,155
1993Q1,1204,12,3,9,7,18,3,2,0,17,4,3,1,3,0,6,0,14,0,90
1993Q1,1205,12,1,9,4,10,1,1,3,24,3,2,3,0,0,1,0,22,0,84
1993Q1,1208,12,7,8,13,18,14,3,1,37,6,13,4,0,3,8,3,25,0,163
1993Q1,1209,12,0,1,1,8,3,0,0,4,2,6,2,0,1,0,0,4,0,32
1993Q1,1211,12,10,17,6,17,16,2,1,29,5,6,5,0,1,10,1,25,0,151
1993Q1,1213,12,3,9,2,12,8,0,1,29,14,11,4,0,0,3,0,20,1,117
1993Q1,1215,12,3,1,5,8,7,1,2,21,6,6,4,0,0,3,1,20,0,88
1993Q1,1218,12,4,5,4,21,10,1,2,21,4,7,6,0,1,8,1,20,0,115
1993Q1,1219,12,0,2,0,4,2,1,0,3,3,3,1,0,0,0,0,5,0,24
1993Q1,1231,12,5,14,1,3,3,1,0,10,3,3,2,0,1,4,2,18,0,70
1993Q1,1232,12,15,12,7,18,16,0,0,15,7,7,3,0,0,10,0,19,2,131
1993Q1,1233,12,9,3,3,8,8,1,0,11,10,9,3,1,0,17,1,14,0,98
1993Q1,1235,12,0,1,0,10,0,1,0,21,3,5,1,0,0,3,1,15,0,61
1993Q1,1239,12,4,10,5,24,11,1,4,40,10,6,3,0,0,61,6,18,0,203
1993Q1,1241,12,12,22,6,8,5,1,2,53,12,6,3,1,0,11,2,16,0,160
1993Q1,1242,12,0,4,0,2,1,1,0,5,3,4,1,0,0,1,1,7,0,30
1993Q1,1243,12,3,14,10,16,6,1,2,27,8,10,2,1,1,9,2,15,0,127
1993Q1,1245,12,2,12,6,24,6,2,3,30,7,3,8,1,1,7,1,19,0,132
1993Q1,1248,12,5,5,3,17,5,1,2,27,13,14,2,0,1,5,0,17,0,117
1993Q1,1249,12,1,8,1,16,10,2,0,20,6,17,2,0,0,5,2,23,0,113
1993Q1,1251,12,2,6,8,8,12,2,0,30,10,3,4,0,0,7,2,14,0,108
1993Q1,1252,12,1,9,4,10,5,0,2,10,8,1,5,0,0,5,0,12,0,72
1993Q1,1253,12,3,10,4,11,3,0,1,17,7,5,1,0,0,8,1,18,1,90
1993Q1,1255,12,2,10,5,13,6,0,0,11,5,18,4,0,1,8,0,14,0,97
1993Q1,1256,12,6,17,7,45,16,2,2,48,15,15,5,2,6,31,2,40,0,259
1993Q1,1258,12,4,13,1,12,4,1,1,26,12,8,6,1,0,9,1,28,0,127
1993Q1,1259,12,7,18,12,4,6,0,1,22,11,4,3,0,0,3,1,30,0,122
1993Q1,1263,12,6,10,4,8,4,0,1,22,14,9,4,0,0,6,1,21,0,110
1993Q1,1265,12,3,11,12,15,11,0,1,30,33,8,7,0,1,6,1,18,0,157
1993Q1,1266,12,3,22,6,51,17,1,3,61,20,18,4,1,1,14,1,68,1,292
1993Q1,1268,12,3,8,8,22,10,3,4,32,9,9,4,1,3,7,4,16,0,143
1993Q1,1269,12,11,17,16,30,11,3,1,44,10,10,2,1,0,7,2,26,0,191
1993Q1,1273,12,8,17,16,11,9,1,1,17,28,4,3,1,4,14,2,23,0,159
1993Q1,1283,12,1,19,6,17,9,1,0,23,9,4,1,0,0,6,0,23,0,119
1993Q1,1293,12,1,4,1,5,1,0,1,3,3,0,1,0,1,1,0,3,0,25
1993Q1,1300,13,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3
1993Q1,1303,13,18,0,2,9,2,0,0,4,47,6,4,1,0,4,0,27,0,124
1993Q1,1307,13,17,3,2,19,4,2,1,13,36,9,8,2,0,11,0,10,0,137
1993Q1,1309,13,48,1,10,16,5,0,0,5,41,13,14,2,0,13,2,40,0,210
1993Q1,1311,13,2,0,1,0,0,0,0,2,1,0,2,0,0,1,0,4,0,13
