quarter,RD,division,burg.bus,burg.res,burg.oth,robb.st,robb.oth,murder,rape,aggr.assault,burg.from.auto,theft.from.auto,grand.theft,theft.from.pers,purse.snatch,other.theft,bike.theft,auto.theft,bunco,total
1990Q1,0100,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
1990Q1,0102,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,7
1990Q1,0105,1,0,4,5,3,0,0,0,3,5,1,0,0,0,0,0,5,0,26
1990Q1,0106,1,27,3,10,37,4,1,0,16,100,7,9,25,13,13,0,52,0,317
1990Q1,0107,1,4,2,6,9,2,1,1,16,39,13,4,2,3,13,0,34,0,149
1990Q1,0110,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1990Q1,0111,1,1,0,1,2,0,0,0,5,3,0,0,2,0,1,0,7,0,22
1990Q1,0112,1,0,3,4,0,0,0,0,0,4,1,3,0,0,0,0,0,0,15
1990Q1,0114,1,1,0,1,17,1,0,1,7,57,5,0,8,6,5,0,11,0,120
1990Q1,0118,1,2,1,0,2,0,0,0,2,32,3,0,1,1,3,0,9,0,56
1990Q1,0122,1,0,6,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,14
1990Q1,0124,1,1,5,1,1,3,0,0,1,65,1,4,1,0,2,0,11,0,96
1990Q1,0125,1,4,0,2,6,1,0,0,4,20,1,2,3,1,6,0,9,0,59
1990Q1,0127,1,5,0,3,4,1,0,1,2,13,1,5,1,0,22,0,2,0,60
1990Q1,0128,1,1,2,2,2,2,0,0,5,25,8,11,0,2,3,1,5,0,69
1990Q1,0129,1,1,0,4,1,1,0,1,0,18,0,2,0,0,0,0,8,0,36
1990Q1,0131,1,0,1,0,1,0,0,0,2,5,0,3,1,0,1,0,1,0,15
1990Q1,0132,1,4,5,8,6,3,0,0,3,39,7,11,2,2,21,0,9,0,120
1990Q1,0133,1,21,1,0,11,0,0,0,10,15,1,3,4,2,4,0,0,2,74
1990Q1,0136,1,3,0,1,27,0,1,0,19,17,1,0,3,0,3,0,3,0,78
1990Q1,0138,1,1,7,3,13,5,0,0,11,56,3,3,3,2,2,0,8,1,118
1990Q1,0139,1,2,2,5,3,1,0,0,4,46,6,4,1,0,2,0,5,0,81
1990Q1,0141,1,1,0,4,1,0,0,1,2,5,1,7,2,0,5,0,6,0,35
1990Q1,0143,1,8,0,0,19,5,0,1,7,7,0,2,6,0,24,0,2,2,83
1990Q1,0144,1,4,2,0,25,9,1,1,21,4,0,0,2,0,2,0,0,0,71
1990Q1,0145,1,3,0,0,30,2,1,0,6,10,6,1,5,0,9,0,0,0,73
1990Q1,0146,1,3,0,1,6,0,0,0,6,12,4,0,2,0,3,0,2,0,39
1990Q1,0147,1,0,1,0,4,1,0,0,8,7,1,2,2,1,1,0,3,0,31
1990Q1,0148,1,2,1,0,6,1,0,2,13,10,4,0,1,1,3,0,3,0,47
1990Q1,0152,1,5,2,2,18,6,0,1,7,29,6,28,3,5,30,1,8,0,151
1990Q1,0153,1,21,1,2,43,5,2,1,26,12,0,2,24,7,50,1,6,4,207
1990Q1,0154,1,6,1,0,36,0,0,0,7,11,3,2,4,0,4,0,2,0,76
1990Q1,0155,1,1,1,0,11,0,0,1,10,11,2,2,5,0,12,0,2,0,58
1990Q1,0156,1,1,1,1,12,1,0,0,9,6,3,0,2,0,6,0,1,0,43
1990Q1,0157,1,3,3,4,21,3,3,0,35,9,1,3,3,1,11,0,2,0,102
1990Q1,0158,1,6,1,0,12,7,2,3,25,13,1,0,1,0,4,0,5,0,80
1990Q1,0159,1,24,0,3,2,1,0,0,7,22,9,8,2,0,5,0,8,0,91
1990Q1,0164,1,2,1,2,39,5,0,1,16,16,0,2,11,4,5,0,4,0,108
1990Q1,0165,1,1,0,0,13,4,0,0,9,10,3,9,10,1,16,0,9,0,85
1990Q1,0166,1,1,1,0,12,1,0,0,3,9,2,1,5,0,1,0,2,0,38
1990Q1,0171,1,2,0,8,3,0,0,0,4,17,2,3,0,0,17,2,6,0,64
1990Q1,0172,1,18,2,1,14,4,0,3,3,62,4,14,8,0,57,1,8,1,200
1990Q1,0174,1,25,4,4,21,5,0,1,13,32,1,1,17,3,15,0,14,1,157
1990Q1,0176,1,8,3,1,8,1,0,0,7,26,5,2,5,0,3,1,1,0,71
1990Q1,0177,1,21,0,2,11,2,0,0,3,54,5,4,4,0,3,2,7,0,118
1990Q1,0181,1,2,1,0,9,2,0,2,13,36,3,5,1,0,4,0,24,0,102
1990Q1,0182,1,0,0,0,1,0,0,0,0,18,1,2,5,0,5,0,10,0,42
1990Q1,0184,1,20,5,2,9,3,0,2,6,62,6,7,5,1,13,0,26,0,167
1990Q1,0185,1,32,0,6,11,3,0,2,8,128,9,12,41,6,15,0,19,0,292
1990Q1,0192,1,0,0,0,6,0,0,0,1,9,3,0,1,0,2,0,10,1,33
1990Q1,0194,1,16,2,5,9,0,0,1,11,34,6,2,1,1,4,1,45,1,139
1990Q1,0195,1,26,3,1,14,6,0,0,13,45,5,2,3,1,11,1,18,0,149
1990Q1,0200,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,4
1990Q1,0221,2,4,8,4,9,5,0,0,23,29,6,1,1,1,2,0,57,0,150
1990Q1,0222,2,3,6,6,11,2,0,3,22,27,9,1,1,0,7,0,43,0,141
1990Q1,0223,2,1,26,4,9,4,0,1,18,37,12,4,1,1,5,2,47,0,172
1990Q1,0231,2,3,19,2,11,4,0,1,19,22,10,5,2,0,4,0,64,0,166
1990Q1,0232,2,6,14,1,4,3,1,0,10,8,6,4,0,1,4,1,16,0,79
1990Q1,0234,2,3,24,4,8,3,0,3,20,30,8,6,2,0,8,1,54,0,174
1990Q1,0235,2,9,20,4,8,9,0,1,18,38,5,1,0,1,8,4,42,0,168
1990Q1,0236,2,1,11,1,12,1,0,0,13,27,4,2,0,0,15,0,40,1,128
1990Q1,0238,2,1,5,2,6,0,0,0,14,17,5,3,0,1,1,0,21,0,76
1990Q1,0241,2,3,11,1,6,4,0,0,14,11,7,4,1,1,1,0,31,0,95
1990Q1,0242,2,11,19,1,18,4,0,1,26,10,3,3,1,0,15,1,50,0,163
1990Q1,0243,2,9,27,11,15,3,2,1,9,40,7,4,3,4,18,5,36,0,194
1990Q1,0244,2,5,31,4,11,6,0,1,37,84,21,4,4,2,9,2,55,0,276
1990Q1,0245,2,8,19,6,10,1,0,0,8,58,6,2,2,0,12,1,41,0,174
1990Q1,0246,2,3,17,9,11,5,0,0,9,27,3,1,1,1,17,2,39,0,145
1990Q1,0247,2,8,16,5,12,2,1,0,23,56,0,1,0,0,5,1,55,0,185
1990Q1,0248,2,2,12,5,7,1,0,0,10,27,4,3,1,0,2,0,20,0,94
1990Q1,0249,2,0,0,0,1,1,0,0,4,16,0,1,0,0,0,0,6,0,29
1990Q1,0251,2,6,66,2,25,11,0,1,35,30,8,5,5,2,19,1,58,0,274
1990Q1,0252,2,8,25,5,15,11,0,3,18,47,5,1,7,2,15,0,42,0,204
1990Q1,0253,2,11,23,19,27,10,1,2,9,72,7,3,8,3,36,1,55,0,287
1990Q1,0254,2,7,24,6,17,7,0,0,16,65,5,1,4,2,8,2,39,0,203
1990Q1,0255,2,19,39,8,61,6,2,3,65,86,14,7,3,1,18,2,41,0,375
1990Q1,0256,2,21,27,5,41,14,2,2,56,46,9,3,6,4,26,1,40,0,303
1990Q1,0258,2,11,39,6,21,10,2,1,49,60,5,5,1,1,29,1,47,0,288
1990Q1,0259,2,3,4,5,11,2,0,0,14,74,1,4,1,1,3,0,26,0,149
1990Q1,0261,2,12,26,4,44,16,2,2,44,27,3,10,5,2,22,2,65,0,286
1990Q1,0262,2,30,33,6,29,9,1,2,33,49,13,11,3,1,9,1,49,1,280
1990Q1,0266,2,46,44,11,70,16,0,3,115,88,6,7,5,3,30,0,90,0,534
1990Q1,0269,2,8,12,4,12,4,1,0,33,28,6,11,1,0,5,0,37,0,162
1990Q1,0271,2,10,31,2,23,6,0,1,23,8,9,4,4,2,5,3,47,0,178
1990Q1,0272,2,5,23,4,18,6,1,0,23,25,3,3,2,0,10,0,56,0,179
1990Q1,0275,2,12,23,10,23,10,0,1,18,32,3,4,2,2,12,0,37,0,189
1990Q1,0276,2,1,12,1,15,7,0,0,37,10,4,6,2,0,7,0,21,0,123
1990Q1,0279,2,2,6,6,5,0,0,0,11,13,3,3,1,1,1,0,19,0,71
1990Q1,0281,2,4,11,3,12,2,1,1,15,13,3,2,0,0,6,1,26,0,100
1990Q1,0282,2,13,19,3,25,1,2,0,19,12,2,2,0,1,7,2,39,0,147
1990Q1,0286,2,8,28,1,11,2,0,0,24,10,4,2,0,0,3,3,30,0,126
1990Q1,0289,2,0,7,0,0,0,1,1,11,11,1,0,0,0,3,0,15,0,50
1990Q1,0291,2,3,4,2,2,2,1,0,7,6,2,2,0,0,2,1,8,0,42
1990Q1,0292,2,1,12,0,3,1,0,1,4,3,2,0,1,0,1,0,13,0,42
1990Q1,0296,2,0,0,0,1,1,0,0,8,0,3,0,0,0,0,0,5,0,18
1990Q1,0299,2,4,5,3,2,2,0,0,16,15,1,2,0,0,8,0,19,0,77
1990Q1,0300,3,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,5
1990Q1,0309,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
1990Q1,0311,3,2,2,0,2,0,0,0,1,1,1,0,0,0,0,0,6,0,15
1990Q1,0312,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,0,7
1990Q1,0313,3,0,3,0,4,3,1,0,5,1,1,1,0,1,0,0,9,0,29
1990Q1,0314,3,0,11,0,6,1,0,0,13,9,4,2,0,0,4,1,26,0,77
1990Q1,0315,3,2,6,5,5,2,0,0,15,13,4,5,0,4,4,1,20,0,86
1990Q1,0316,3,1,11,1,8,4,0,0,32,12,5,1,1,2,2,3,16,0,99
1990Q1,0317,3,3,7,1,11,2,2,0,12,11,2,3,0,0,4,0,23,0,81
1990Q1,0318,3,0,5,0,10,2,0,0,6,4,4,0,0,0,1,0,19,0,51
1990Q1,0319,3,1,20,0,13,3,1,0,20,36,11,3,0,1,9,3,45,0,166
1990Q1,0326,3,0,9,6,9,2,1,1,23,17,3,2,0,0,6,0,17,0,96
1990Q1,0327,3,1,18,7,5,3,0,1,9,34,4,1,0,1,2,7,38,0,131
1990Q1,0328,3,1,17,3,5,3,0,0,5,52,10,5,0,0,11,19,38,0,169
1990Q1,0329,3,1,0,0,3,1,0,0,2,4,0,0,0,0,3,1,10,0,25
1990Q1,0331,3,0,6,2,11,3,2,1,9,8,1,3,0,0,2,0,17,0,65
1990Q1,0332,3,0,5,2,4,2,0,1,5,8,2,1,2,0,2,0,13,0,47
1990Q1,0333,3,9,2,2,12,1,0,1,13,11,6,9,1,0,3,0,16,0,86
1990Q1,0334,3,3,3,0,17,8,0,0,10,10,8,3,1,0,4,2,14,2,85
1990Q1,0335,3,4,0,5,5,3,0,0,12,6,1,1,0,0,2,2,8,0,49
1990Q1,0336,3,4,5,3,11,2,0,0,12,10,1,2,1,0,3,0,18,0,72
1990Q1,0337,3,0,6,1,7,3,0,0,15,4,1,0,0,0,4,1,18,1,61
1990Q1,0338,3,1,7,2,9,7,0,1,5,34,7,3,1,0,13,10,11,0,111
1990Q1,0351,3,0,0,2,1,1,0,0,2,2,1,1,0,0,5,0,2,0,17
1990Q1,0353,3,0,3,0,8,2,1,0,4,1,4,1,0,0,3,0,7,0,34
1990Q1,0354,3,1,7,3,7,2,0,0,14,2,7,2,0,0,5,1,10,0,61
1990Q1,0355,3,2,10,2,13,5,1,3,21,1,0,5,1,1,3,0,19,0,87
1990Q1,0356,3,4,9,0,16,7,2,0,23,4,4,3,1,1,15,0,19,0,108
1990Q1,0357,3,0,10,5,16,4,0,3,26,26,6,4,0,0,8,2,23,0,133
1990Q1,0358,3,6,6,25,5,0,0,3,4,64,34,34,0,1,84,36,26,0,328
1990Q1,0359,3,1,1,0,2,0,0,0,0,7,3,1,2,0,1,1,14,0,33
1990Q1,0361,3,0,14,0,11,7,2,0,35,16,12,5,0,1,13,0,42,0,158
1990Q1,0362,3,2,5,0,12,10,2,0,27,17,7,3,1,1,4,0,43,0,134
1990Q1,0363,3,13,19,10,22,13,1,0,41,25,3,13,3,2,68,0,57,0,290
1990Q1,0373,3,6,6,1,11,5,0,0,2,6,9,4,0,0,11,1,15,0,77
1990Q1,0374,3,0,10,2,3,3,0,0,3,10,0,2,1,0,5,0,9,0,48
1990Q1,0375,3,0,7,5,3,5,1,1,11,7,6,3,0,3,9,1,8,0,70
1990Q1,0376,3,1,6,2,12,0,1,1,30,13,6,2,2,1,9,0,21,0,107
1990Q1,0377,3,1,21,2,18,2,2,0,39,12,5,4,2,2,12,2,30,0,154
1990Q1,0378,3,2,2,3,4,0,0,0,1,18,4,1,4,1,9,0,18,0,67
1990Q1,0391,3,0,3,4,3,1,0,0,10,11,3,1,0,0,0,1,26,0,63
1990Q1,0393,3,6,27,7,23,8,0,0,19,28,6,7,2,3,11,5,48,0,200
1990Q1,0394,3,2,4,1,2,0,0,1,5,1,5,1,1,0,4,0,8,0,35
1990Q1,0395,3,7,10,2,18,3,0,0,12,10,8,5,0,1,18,0,17,1,112
1990Q1,0397,3,3,13,6,23,6,0,6,25,10,5,2,0,1,15,2,41,1,159
1990Q1,0398,3,5,18,2,32,4,0,0,43,31,28,8,1,2,24,1,45,1,245
1990Q1,0399,3,3,3,0,7,1,0,0,8,10,13,0,0,0,11,0,10,0,66
1990Q1,0400,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3
1990Q1,0401,4,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4
1990Q1,0402,4,0,2,1,1,0,0,0,4,7,1,2,0,0,0,0,5,0,23
1990Q1,0403,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1990Q1,0404,4,0,8,0,3,2,0,0,4,5,2,2,0,0,0,1,14,0,41
1990Q1,0405,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1990Q1,0406,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,7
1990Q1,0407,4,0,7,0,4,3,0,1,16,10,3,1,0,0,2,1,30,0,78
1990Q1,0408,4,3,7,1,0,0,1,0,12,4,2,0,0,0,8,0,9,0,47
1990Q1,0409,4,1,27,3,6,0,0,0,17,13,6,5,0,0,1,2,21,0,102
1990Q1,0411,4,7,0,1,3,0,0,0,5,10,4,2,0,1,4,0,11,0,48
1990Q1,0412,4,10,3,4,1,0,0,0,12,14,6,3,0,1,2,0,12,0,68
1990Q1,0413,4,1,2,0,0,0,0,0,4,1,0,0,0,0,1,0,3,0,12
1990Q1,0414,4,1,2,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,10
1990Q1,0415,4,8,13,3,9,11,0,1,26,36,4,5,1,2,8,2,25,0,154
1990Q1,0416,4,2,9,1,3,1,1,0,19,19,3,2,0,0,3,0,23,0,86
1990Q1,0417,4,2,9,5,3,2,0,0,15,5,3,2,0,0,10,2,11,0,69
1990Q1,0418,4,1,13,1,4,2,0,0,8,8,5,1,0,3,8,2,17,0,73
1990Q1,0419,4,0,11,1,7,1,0,0,9,15,2,0,0,0,3,0,13,0,62
1990Q1,0421,4,6,6,3,7,2,0,0,5,13,4,2,1,0,2,1,23,0,75
1990Q1,0422,4,2,10,0,9,2,0,1,12,25,7,3,1,0,3,0,22,0,97
1990Q1,0423,4,2,10,1,1,2,1,0,9,4,1,2,1,1,2,0,14,0,51
1990Q1,0427,4,4,12,7,5,2,0,0,6,17,0,3,0,0,3,0,20,0,79
1990Q1,0428,4,4,16,1,5,1,1,0,4,13,3,1,0,1,5,1,27,0,83
1990Q1,0429,4,4,7,0,0,0,0,2,3,11,4,4,0,0,3,0,21,0,59
1990Q1,0431,4,2,0,0,2,0,0,0,1,3,0,1,0,0,0,0,2,0,11
1990Q1,0432,4,0,0,0,0,0,0,0,1,7,2,0,0,0,0,0,3,0,13
1990Q1,0433,4,5,0,5,3,4,0,1,6,31,9,4,0,0,20,0,49,0,137
1990Q1,0435,4,0,1,0,3,0,0,0,4,2,0,0,0,0,2,0,5,0,17
1990Q1,0438,4,0,8,1,12,4,0,0,9,8,0,4,0,2,0,0,24,0,72
1990Q1,0439,4,0,4,0,4,1,0,1,7,3,2,3,1,1,2,0,18,0,47
1990Q1,0451,4,2,6,1,2,3,1,0,28,4,0,0,0,0,1,0,6,0,54
1990Q1,0452,4,0,0,1,3,1,0,0,4,2,0,0,0,0,1,0,1,0,13
1990Q1,0453,4,1,5,6,5,1,0,0,11,23,4,2,0,0,12,0,17,0,87
1990Q1,0455,4,7,4,1,9,1,1,1,6,19,1,2,1,2,8,0,33,0,96
1990Q1,0457,4,5,4,0,12,4,0,0,22,8,7,1,0,2,11,3,26,1,106
1990Q1,0459,4,0,7,1,8,0,0,1,7,7,2,0,0,2,3,1,12,0,51
1990Q1,0462,4,4,5,2,7,1,0,0,13,4,2,0,0,0,3,1,14,0,56
1990Q1,0463,4,7,3,4,19,1,2,2,31,16,7,6,0,0,10,1,28,1,138
1990Q1,0466,4,3,9,0,17,3,0,0,25,11,2,2,0,1,14,0,10,1,98
1990Q1,0467,4,3,3,4,10,1,1,0,17,9,7,3,0,1,18,0,18,0,95
1990Q1,0468,4,2,11,1,7,1,0,0,8,9,5,0,0,1,2,1,25,0,73
1990Q1,0469,4,1,2,0,5,1,0,1,6,7,3,1,0,0,0,0,13,0,40
1990Q1,0471,4,11,6,5,6,1,1,1,13,16,4,4,1,0,7,0,14,0,90
1990Q1,0473,4,1,8,0,7,1,0,0,9,8,4,1,1,0,19,1,14,0,74
1990Q1,0477,4,3,2,6,3,1,0,0,8,10,5,2,2,1,4,0,21,0,68
1990Q1,0478,4,0,1,2,4,6,0,0,20,11,2,2,1,0,6,0,25,0,80
1990Q1,0479,4,0,2,2,5,0,0,0,7,3,0,2,0,0,2,0,13,0,36
1990Q1,0483,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,4
1990Q1,0487,4,0,2,0,4,1,0,0,3,0,0,0,0,0,0,0,4,0,14
1990Q1,0488,4,1,1,1,3,2,0,0,8,3,0,1,0,0,0,0,11,0,31
1990Q1,0491,4,7,0,2,2,0,0,0,2,9,3,9,0,0,39,0,24,0,97
1990Q1,0497,4,20,0,2,9,4,0,1,33,18,10,4,1,0,30,1,69,0,202
1990Q1,0499,4,0,1,0,2,0,0,0,13,9,2,1,0,0,2,0,11,0,41
1990Q1,0500,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,5
1990Q1,0501,5,0,3,0,1,1,0,0,1,4,0,3,0,0,7,0,4,0,24
1990Q1,0502,5,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,9,0,13
1990Q1,0503,5,3,1,0,2,0,0,0,0,1,2,4,0,0,0,0,16,0,29
