quarter,RD,division,burg.bus,burg.res,burg.oth,robb.st,robb.oth,murder,rape,aggr.assault,burg.from.auto,theft.from.auto,grand.theft,theft.from.pers,purse.snatch,other.theft,bike.theft,auto.theft,bunco,total
1996Q1,0101,1,2,2,1,6,3,1,0,5,8,2,1,1,1,2,0,14,0,49
1996Q1,0105,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,9,0,12
1996Q1,0109,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1996Q1,0111,1,4,6,1,18,6,0,0,11,32,4,7,5,0,9,0,29,0,132
1996Q1,0112,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,2,0,9
1996Q1,0119,1,6,5,5,4,3,0,0,5,5,4,4,1,1,8,0,12,0,63
1996Q1,0121,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,7
1996Q1,0122,1,0,0,3,0,0,0,0,0,10,3,3,0,0,1,0,4,0,24
1996Q1,0123,1,0,0,1,0,0,0,0,0,6,0,0,1,0,2,0,1,0,11
1996Q1,0124,1,1,0,1,1,1,0,0,0,4,3,7,0,0,9,0,3,0,30
1996Q1,0127,1,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,6
1996Q1,0128,1,2,0,0,2,1,0,0,2,24,6,3,0,1,5,0,2,0,48
1996Q1,0129,1,0,0,1,1,1,0,0,3,6,1,1,0,0,2,0,2,0,18
1996Q1,0131,1,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,7
1996Q1,0132,1,3,1,0,0,0,0,0,1,38,4,5,0,1,4,0,0,0,57
1996Q1,0133,1,2,0,0,2,3,0,0,0,7,0,2,0,0,1,0,3,0,20
1996Q1,0134,1,1,0,0,4,0,0,0,3,3,2,2,2,0,4,0,1,0,22
1996Q1,0135,1,3,2,0,5,0,0,0,0,12,2,0,0,0,5,0,1,0,30
1996Q1,0138,1,5,0,2,6,0,0,0,7,27,6,2,1,0,4,0,2,0,62
1996Q1,0139,1,1,0,0,1,0,0,0,2,20,0,4,0,0,0,0,4,0,32
1996Q1,0141,1,1,0,1,0,0,0,0,0,3,0,6,0,0,0,0,0,0,11
1996Q1,0142,1,3,0,1,0,2,0,0,0,27,2,15,1,0,14,0,1,0,66
1996Q1,0143,1,1,0,0,9,4,0,0,1,4,1,2,3,1,28,0,0,0,54
1996Q1,0144,1,0,10,0,10,6,0,0,9,1,0,1,3,0,6,0,0,0,46
1996Q1,0145,1,3,0,1,12,0,0,0,3,6,1,0,3,0,1,0,0,0,30
1996Q1,0146,1,0,0,0,1,0,1,0,8,7,0,1,1,0,4,0,0,0,23
1996Q1,0147,1,1,0,0,5,0,1,0,5,2,0,0,1,0,2,0,0,0,17
1996Q1,0148,1,0,3,0,4,0,0,1,3,2,1,0,1,0,0,0,0,0,15
1996Q1,0151,1,1,1,0,1,0,0,0,0,10,1,3,0,0,4,0,0,0,21
1996Q1,0152,1,7,1,5,9,6,0,0,3,20,6,15,6,0,15,0,4,0,97
1996Q1,0153,1,5,8,0,13,9,1,0,11,6,1,20,7,1,22,0,1,0,105
1996Q1,0154,1,3,3,0,6,0,0,0,3,3,2,1,2,0,9,0,0,0,32
1996Q1,0155,1,0,1,0,9,0,1,0,4,4,0,4,0,0,6,0,0,0,29
1996Q1,0156,1,0,2,0,18,3,0,1,17,3,0,0,0,0,5,0,1,0,50
1996Q1,0157,1,2,3,0,19,1,1,1,10,5,0,5,0,2,5,0,2,0,56
1996Q1,0158,1,2,0,0,10,1,0,0,7,3,2,2,0,0,3,0,5,0,35
1996Q1,0159,1,14,0,2,9,0,0,0,5,17,12,4,1,0,2,0,6,0,72
1996Q1,0161,1,1,0,0,0,0,0,1,1,15,1,7,0,1,26,0,0,0,53
1996Q1,0162,1,4,0,1,7,4,0,0,4,24,2,12,3,0,42,0,8,2,113
1996Q1,0163,1,6,0,1,7,6,0,1,11,6,1,9,4,0,14,0,3,0,69
1996Q1,0164,1,1,0,1,10,2,0,0,14,3,1,3,4,0,8,0,2,0,49
1996Q1,0165,1,2,0,0,8,0,0,0,0,0,0,1,0,0,3,0,1,0,15
1996Q1,0166,1,0,2,1,4,1,0,0,4,4,4,0,0,1,2,0,0,0,23
1996Q1,0171,1,3,1,0,3,4,0,1,4,17,4,2,0,0,4,0,8,0,51
1996Q1,0174,1,4,2,1,3,4,1,4,2,3,1,4,5,0,1,0,2,0,37
1996Q1,0176,1,6,0,0,5,3,0,0,5,5,2,2,1,0,3,0,2,0,34
1996Q1,181,1,,,,,,,,,,,,,,,,,,
1996Q1,182,1,,,,,,,,,,,,,,,,,,
1996Q1,185,1,,,,,,,,,,,,,,,,,,
1996Q1,191,1,,,,,,,,,,,,,,,,,,
1996Q1,192,1,,,,,,,,,,,,,,,,,,
1996Q1,195,1,,,,,,,,,,,,,,,,,,
1996Q1,0200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1996Q1,0211,2,3,8,4,18,4,0,1,7,28,7,5,0,0,13,0,41,0,139
1996Q1,0212,2,1,4,3,16,9,1,3,26,16,3,6,1,0,7,0,23,0,119
1996Q1,0213,2,1,31,3,3,5,0,0,12,11,12,5,0,0,6,0,25,0,114
1996Q1,0214,2,2,15,1,3,2,1,1,6,10,7,1,0,1,2,1,23,0,76
1996Q1,0215,2,2,2,2,4,5,3,2,12,15,8,2,1,1,3,0,21,0,83
1996Q1,0217,2,2,9,1,13,2,1,0,6,31,7,4,0,0,3,0,25,0,104
1996Q1,0219,2,1,2,0,6,1,0,0,2,0,3,3,0,1,4,0,20,0,43
1996Q1,0221,2,2,12,4,18,14,1,2,31,14,12,1,0,0,10,0,36,0,157
1996Q1,0222,2,2,5,4,5,5,0,0,9,5,4,3,0,0,3,0,9,0,54
