AGG,BTFV,BURG,GTA,GTP,HOM,ROBB,quarter,rd
9,12,4,16,0,0,1,2004Q1,101
2,9,2,6,0,0,2,2004Q1,105
12,23,17,17,4,0,11,2004Q1,111
0,5,0,1,0,0,0,2004Q1,112
3,7,4,4,0,0,6,2004Q1,119
0,2,0,1,0,0,0,2004Q1,121
0,1,0,0,0,0,0,2004Q1,122
2,0,1,0,0,0,2,2004Q1,123
0,2,1,0,0,0,1,2004Q1,124
1,3,0,0,0,0,0,2004Q1,127
1,8,0,1,0,0,2,2004Q1,128
2,8,1,1,0,0,0,2004Q1,129
1,16,2,4,0,0,0,2004Q1,131
2,4,0,6,0,0,2,2004Q1,132
2,1,1,2,0,0,2,2004Q1,133
3,4,0,4,3,0,2,2004Q1,134
8,5,0,0,1,0,5,2004Q1,135
9,7,4,2,0,0,11,2004Q1,138
2,6,0,3,0,0,1,2004Q1,139
0,2,1,1,0,0,0,2004Q1,141
1,5,3,1,1,0,0,2004Q1,142
3,2,2,3,1,0,3,2004Q1,143
5,1,1,1,0,0,1,2004Q1,144
3,1,0,2,1,0,4,2004Q1,145
4,1,0,1,2,0,5,2004Q1,146
2,4,0,2,0,0,6,2004Q1,147
11,4,0,1,1,0,6,2004Q1,148
0,1,2,1,1,0,0,2004Q1,151
6,6,9,1,1,0,5,2004Q1,152
10,3,3,3,2,1,17,2004Q1,153
9,1,3,1,0,0,4,2004Q1,154
8,2,0,2,5,0,6,2004Q1,155
17,4,4,1,2,0,13,2004Q1,156
9,2,2,4,1,0,10,2004Q1,157
10,6,1,5,0,0,5,2004Q1,158
2,14,2,8,1,0,5,2004Q1,159
2,5,3,2,0,0,2,2004Q1,161
10,6,6,6,2,0,8,2004Q1,162
2,0,3,2,1,0,5,2004Q1,163
7,6,5,1,0,0,9,2004Q1,164
1,1,0,0,1,0,0,2004Q1,165
11,4,1,3,0,0,10,2004Q1,166
2,9,1,1,0,0,1,2004Q1,171
8,4,1,1,2,0,13,2004Q1,174
4,13,10,2,2,0,9,2004Q1,176
1,19,1,6,0,0,0,2004Q1,181
8,42,5,14,2,0,6,2004Q1,182
6,18,15,4,8,0,11,2004Q1,185
1,4,0,9,0,0,1,2004Q1,191
6,28,2,17,0,0,2,2004Q1,192
3,13,12,7,2,0,8,2004Q1,195
8,10,3,12,1,0,5,2004Q1,211
18,16,4,13,1,0,9,2004Q1,212
3,12,5,14,1,0,4,2004Q1,213
4,11,8,11,1,0,6,2004Q1,214
1,13,4,9,0,0,2,2004Q1,215
6,11,3,12,0,0,5,2004Q1,217
6,18,3,6,0,0,4,2004Q1,219
11,21,3,16,0,0,8,2004Q1,221
6,14,2,8,0,0,5,2004Q1,222
4,4,3,5,0,0,3,2004Q1,224
11,9,4,11,0,0,6,2004Q1,231
7,13,4,11,0,0,3,2004Q1,232
9,22,7,14,0,0,16,2004Q1,233
14,35,3,14,0,0,6,2004Q1,234
3,15,2,9,0,0,2,2004Q1,235
6,11,1,11,0,0,10,2004Q1,236
8,20,9,15,0,1,1,2004Q1,237
16,6,3,4,0,0,0,2004Q1,238
3,0,0,0,0,0,0,2004Q1,239
14,23,9,15,3,0,11,2004Q1,241
11,32,14,13,0,0,7,2004Q1,242
11,30,10,20,1,0,15,2004Q1,243
7,30,5,10,1,0,4,2004Q1,244
23,21,5,17,2,1,20,2004Q1,245
14,10,6,2,0,0,12,2004Q1,246
7,4,2,7,0,0,4,2004Q1,247
5,7,5,8,0,0,9,2004Q1,249
6,13,6,10,1,0,11,2004Q1,251
5,10,5,6,0,0,3,2004Q1,252
4,6,6,9,0,0,12,2004Q1,256
4,13,7,9,0,0,13,2004Q1,257
19,6,3,7,0,2,10,2004Q1,264
17,3,5,9,0,0,5,2004Q1,266
8,5,2,5,1,0,8,2004Q1,267
12,13,11,6,0,0,10,2004Q1,269
0,0,0,0,0,0,1,2004Q1,271
8,15,6,17,0,0,8,2004Q1,275
11,8,4,5,0,0,6,2004Q1,276
3,11,4,5,0,0,4,2004Q1,279
4,7,1,8,0,0,10,2004Q1,281
12,4,1,15,0,0,5,2004Q1,282
5,5,5,7,1,0,5,2004Q1,286
4,1,4,3,1,0,3,2004Q1,289
4,9,1,8,0,0,5,2004Q1,291
3,2,0,4,0,0,1,2004Q1,292
3,4,5,7,1,0,2,2004Q1,299
2,7,0,2,0,0,0,2004Q1,301
0,5,2,1,0,0,1,2004Q1,303
2,5,2,1,2,0,4,2004Q1,305
1,3,0,0,0,0,0,2004Q1,307
15,9,12,12,0,0,1,2004Q1,311
7,21,11,9,0,1,4,2004Q1,312
7,2,3,6,0,0,1,2004Q1,313
10,8,6,15,0,2,4,2004Q1,314
12,10,2,5,0,0,4,2004Q1,315
14,17,9,14,0,0,2,2004Q1,316
9,16,3,7,0,0,1,2004Q1,317
4,12,4,8,0,0,5,2004Q1,318
7,13,8,11,0,0,6,2004Q1,319
4,5,13,2,1,0,10,2004Q1,321
13,18,15,9,3,0,5,2004Q1,326
6,55,4,13,0,0,12,2004Q1,327
4,24,7,4,0,0,9,2004Q1,328
3,8,1,2,0,0,0,2004Q1,329
10,13,17,6,0,0,9,2004Q1,331
5,13,6,11,0,1,2,2004Q1,332
13,8,5,8,0,0,10,2004Q1,333
11,17,12,13,0,2,9,2004Q1,334
4,12,8,3,0,0,1,2004Q1,335
7,13,6,13,0,0,3,2004Q1,336
4,11,4,16,1,0,1,2004Q1,337
6,42,11,16,0,1,6,2004Q1,338
4,6,3,1,0,0,5,2004Q1,341
2,1,1,4,0,1,2,2004Q1,343
2,6,1,1,0,0,5,2004Q1,351
4,4,2,2,1,0,2,2004Q1,353
9,16,11,9,3,0,3,2004Q1,354
16,16,7,8,1,0,3,2004Q1,355
19,10,7,11,4,0,16,2004Q1,356
19,13,16,12,2,1,7,2004Q1,357
1,35,9,7,2,0,4,2004Q1,358
2,20,1,5,1,0,1,2004Q1,359
42,19,14,11,1,1,21,2004Q1,361
37,34,13,15,2,1,13,2004Q1,362
28,31,20,34,1,1,13,2004Q1,363
6,12,7,4,0,0,8,2004Q1,373
11,11,9,6,0,0,2,2004Q1,374
15,6,10,9,1,0,9,2004Q1,375
11,4,4,10,3,0,6,2004Q1,376
27,20,2,22,1,0,6,2004Q1,377
4,8,2,10,1,0,1,2004Q1,378
6,3,5,12,0,0,0,2004Q1,391
22,5,10,16,3,0,8,2004Q1,392
13,16,24,12,1,0,17,2004Q1,393
8,4,2,6,1,0,2,2004Q1,394
10,10,7,12,0,0,12,2004Q1,395
24,29,11,20,1,0,16,2004Q1,397
31,20,3,19,2,2,19,2004Q1,398
7,9,7,3,0,1,3,2004Q1,399
1,1,0,2,0,0,0,2004Q1,401
1,4,6,4,0,0,1,2004Q1,402
1,1,0,0,0,0,1,2004Q1,403
4,18,4,3,0,0,2,2004Q1,404
1,5,5,10,0,0,0,2004Q1,406
5,6,1,5,0,0,1,2004Q1,407
2,5,4,6,0,0,0,2004Q1,408
9,6,2,17,0,0,0,2004Q1,409
6,13,0,2,0,0,0,2004Q1,411
4,4,2,3,0,0,4,2004Q1,412
1,2,0,2,0,0,0,2004Q1,413
4,2,0,2,0,0,0,2004Q1,414
5,5,3,3,1,2,3,2004Q1,415
6,4,4,3,0,0,2,2004Q1,416
14,7,4,3,0,0,1,2004Q1,421
5,10,1,6,0,0,7,2004Q1,422
1,7,6,9,0,0,0,2004Q1,423
13,11,5,10,0,1,0,2004Q1,424
8,11,6,9,0,0,4,2004Q1,427
7,13,11,12,0,0,1,2004Q1,428
9,10,8,5,0,1,2,2004Q1,429
5,9,10,8,0,0,1,2004Q1,437
3,11,4,10,0,0,4,2004Q1,438
5,19,8,17,1,1,5,2004Q1,439
10,0,0,0,1,0,1,2004Q1,441
1,2,1,1,0,0,0,2004Q1,442
5,26,5,15,0,0,1,2004Q1,443
1,2,1,3,0,0,0,2004Q1,445
3,11,3,9,0,1,1,2004Q1,448
7,15,4,10,0,1,9,2004Q1,449
2,4,0,2,0,0,1,2004Q1,451
4,1,2,3,0,0,0,2004Q1,452
3,8,4,5,0,1,2,2004Q1,453
8,8,3,11,0,0,2,2004Q1,455
6,17,5,18,0,1,6,2004Q1,457
8,8,5,10,1,0,2,2004Q1,459
2,2,6,7,0,0,2,2004Q1,462
18,25,15,22,0,0,6,2004Q1,463
11,4,1,8,0,0,3,2004Q1,466
12,15,6,13,0,2,8,2004Q1,467
4,5,3,16,1,0,0,2004Q1,468
2,7,1,9,0,0,2,2004Q1,469
4,13,3,8,1,1,2,2004Q1,471
4,12,4,17,1,0,3,2004Q1,473
8,8,2,10,2,0,7,2004Q1,477
7,8,6,17,0,0,2,2004Q1,478
8,6,1,11,0,0,1,2004Q1,479
0,0,0,1,0,0,0,2004Q1,483
7,3,1,1,0,0,1,2004Q1,487
5,5,2,4,0,0,1,2004Q1,488
2,4,5,12,0,0,0,2004Q1,491
11,20,5,24,1,0,9,2004Q1,497
4,12,4,10,0,1,0,2004Q1,499
10,11,8,19,0,0,0,2004Q1,501
4,1,1,1,1,0,4,2004Q1,502
5,9,4,10,0,0,0,2004Q1,504
1,7,18,4,0,0,1,2004Q1,505
1,13,2,15,0,0,2,2004Q1,506
8,15,7,15,0,1,1,2004Q1,507
2,5,1,3,0,0,2,2004Q1,508
4,5,6,4,0,0,1,2004Q1,509
3,16,4,8,0,0,10,2004Q1,511
0,6,1,0,0,0,2,2004Q1,512
6,14,11,12,0,0,5,2004Q1,513
10,13,8,24,0,0,3,2004Q1,514
9,9,7,6,0,0,4,2004Q1,515
11,13,6,16,1,1,4,2004Q1,516
18,14,6,8,0,1,4,2004Q1,517
11,12,8,16,0,1,6,2004Q1,519
3,6,8,7,0,0,3,2004Q1,521
0,1,0,0,0,0,0,2004Q1,523
1,4,1,4,0,0,2,2004Q1,524
17,27,9,30,0,0,15,2004Q1,525
0,0,2,1,0,0,0,2004Q1,527
11,13,7,20,0,0,9,2004Q1,529
2,14,2,3,0,0,0,2004Q1,541
9,9,6,8,1,0,2,2004Q1,551
4,2,5,4,0,0,2,2004Q1,555
9,9,8,13,0,0,7,2004Q1,557
9,13,12,6,0,0,5,2004Q1,558
0,1,1,1,0,0,0,2004Q1,559
1,3,2,2,0,0,2,2004Q1,561
1,12,7,6,0,0,0,2004Q1,562
11,17,16,12,1,0,6,2004Q1,563
10,7,3,5,0,0,3,2004Q1,565
12,17,14,11,0,0,4,2004Q1,567
0,4,4,2,0,0,1,2004Q1,569
0,9,2,0,0,0,0,2004Q1,581
1,4,1,1,0,0,1,2004Q1,583
3,2,3,2,0,0,0,2004Q1,584
5,18,10,8,0,0,2,2004Q1,585
2,14,5,3,0,0,1,2004Q1,587
0,7,2,2,0,0,0,2004Q1,589
1,0,0,0,0,0,0,2004Q1,600
1,0,1,0,0,0,0,2004Q1,604
1,2,0,0,0,0,0,2004Q1,609
6,6,1,5,0,0,1,2004Q1,615
1,3,3,3,0,0,0,2004Q1,621
3,17,14,4,0,0,0,2004Q1,622
1,5,3,6,0,0,0,2004Q1,625
2,10,3,0,0,0,0,2004Q1,626
1,14,4,3,0,0,3,2004Q1,627
2,24,4,8,0,0,1,2004Q1,628
5,7,2,0,0,0,0,2004Q1,629
2,2,5,0,0,0,0,2004Q1,631
7,13,12,3,1,0,4,2004Q1,632
5,7,1,5,0,0,1,2004Q1,635
20,24,11,22,4,0,12,2004Q1,636
4,9,3,9,0,0,3,2004Q1,637
4,12,2,11,1,0,6,2004Q1,638
6,15,5,10,0,2,1,2004Q1,639
8,9,8,6,0,0,4,2004Q1,642
10,37,11,24,0,0,8,2004Q1,643
3,23,7,10,0,1,12,2004Q1,644
26,50,15,19,4,1,15,2004Q1,645
23,31,17,18,2,1,21,2004Q1,646
10,20,6,11,0,0,10,2004Q1,647
10,25,12,21,0,0,10,2004Q1,649
8,55,14,11,1,0,12,2004Q1,665
19,27,13,12,1,0,23,2004Q1,666
11,8,5,11,0,0,8,2004Q1,667
10,14,2,10,2,0,4,2004Q1,668
16,20,7,23,0,2,14,2004Q1,669
3,15,14,19,0,0,5,2004Q1,671
6,16,15,10,1,0,11,2004Q1,672
0,9,3,5,0,0,6,2004Q1,674
14,19,12,21,0,0,16,2004Q1,676
17,16,6,13,2,0,6,2004Q1,677
24,14,2,9,0,0,9,2004Q1,678
8,3,2,10,0,0,3,2004Q1,679
1,11,9,3,1,0,3,2004Q1,691
2,7,4,9,0,0,6,2004Q1,692
1,2,1,1,0,0,2,2004Q1,693
1,1,4,3,0,0,4,2004Q1,694
0,0,0,1,0,0,0,2004Q1,696
7,19,10,17,0,1,14,2004Q1,697
18,16,5,16,0,0,4,2004Q1,699
1,1,0,0,0,0,1,2004Q1,700
7,20,11,6,0,0,3,2004Q1,701
0,14,5,7,1,0,6,2004Q1,702
1,0,1,1,0,0,1,2004Q1,703
0,4,2,3,0,0,0,2004Q1,704
2,3,2,3,0,0,4,2004Q1,705
1,8,6,4,0,0,5,2004Q1,706
1,12,9,5,0,0,2,2004Q1,707
3,10,6,8,0,0,3,2004Q1,708
11,11,16,13,2,0,8,2004Q1,709
0,11,9,8,0,0,2,2004Q1,711
4,7,5,7,0,0,4,2004Q1,714
1,5,1,5,0,0,0,2004Q1,715
0,4,2,6,0,0,0,2004Q1,716
0,10,4,7,0,0,0,2004Q1,717
1,3,2,2,0,0,0,2004Q1,718
7,14,8,19,0,0,6,2004Q1,719
3,10,7,6,1,0,2,2004Q1,721
0,6,1,4,0,0,0,2004Q1,722
3,19,7,9,0,0,5,2004Q1,723
0,10,3,1,0,0,4,2004Q1,724
5,10,1,1,0,0,1,2004Q1,725
0,1,1,2,0,0,0,2004Q1,726
5,15,8,9,0,0,6,2004Q1,727
8,15,6,9,2,0,8,2004Q1,728
4,17,6,10,1,0,9,2004Q1,729
4,1,8,2,0,0,2,2004Q1,731
4,14,7,4,1,0,4,2004Q1,732
7,12,18,11,0,0,6,2004Q1,733
2,9,1,3,0,0,1,2004Q1,734
5,9,8,6,1,0,3,2004Q1,735
0,13,3,4,1,0,2,2004Q1,736
11,23,6,18,2,0,11,2004Q1,737
15,25,2,10,1,0,13,2004Q1,738
17,24,6,16,1,0,9,2004Q1,739
3,10,5,8,3,0,7,2004Q1,741
0,7,5,3,0,0,2,2004Q1,742
6,2,7,3,0,0,4,2004Q1,743
12,15,11,8,1,0,10,2004Q1,745
8,22,4,11,0,0,3,2004Q1,746
4,10,1,19,0,0,4,2004Q1,747
1,9,0,2,0,0,2,2004Q1,748
4,5,1,5,0,0,2,2004Q1,749
4,4,3,4,0,0,6,2004Q1,754
7,2,1,9,0,0,1,2004Q1,755
18,15,11,16,0,0,12,2004Q1,756
13,8,6,13,1,0,8,2004Q1,757
9,9,2,9,0,1,6,2004Q1,758
6,8,2,5,0,0,3,2004Q1,759
9,6,14,19,1,1,8,2004Q1,761
5,5,5,5,1,0,3,2004Q1,762
6,4,5,6,1,0,3,2004Q1,763
15,11,12,12,0,1,11,2004Q1,764
3,7,3,0,0,0,2,2004Q1,765
11,18,6,9,0,1,5,2004Q1,766
6,8,4,11,1,0,9,2004Q1,767
2,2,5,8,1,0,4,2004Q1,768
10,20,5,20,1,0,4,2004Q1,769
5,12,5,11,0,0,4,2004Q1,771
5,4,6,9,3,0,2,2004Q1,772
10,5,3,1,1,0,6,2004Q1,773
16,12,15,8,1,3,7,2004Q1,774
0,2,0,2,0,0,2,2004Q1,775
16,15,10,6,0,0,3,2004Q1,776
9,6,3,15,0,0,5,2004Q1,777
4,4,1,2,0,0,8,2004Q1,778
8,4,2,10,1,0,8,2004Q1,779
3,11,10,6,0,0,4,2004Q1,782
2,5,9,6,0,0,7,2004Q1,783
8,7,5,5,0,0,4,2004Q1,784
4,2,0,0,0,0,1,2004Q1,785
7,2,2,6,0,0,3,2004Q1,786
4,9,8,4,0,0,2,2004Q1,787
2,1,4,5,0,0,1,2004Q1,788
2,3,0,5,0,0,5,2004Q1,789
1,1,0,0,0,0,0,2004Q1,801
1,1,4,2,0,0,3,2004Q1,802
0,1,2,0,0,0,0,2004Q1,803
0,2,4,0,0,0,0,2004Q1,804
1,12,6,0,0,0,1,2004Q1,805
1,1,6,2,0,0,3,2004Q1,806
0,0,2,0,0,0,1,2004Q1,807
3,2,4,1,0,0,0,2004Q1,808
1,2,7,0,0,0,0,2004Q1,809
1,9,5,2,0,0,0,2004Q1,811
0,5,3,0,0,0,0,2004Q1,812
4,4,8,1,0,0,2,2004Q1,813
0,1,1,0,0,0,0,2004Q1,814
0,7,1,0,0,0,1,2004Q1,815
2,16,24,15,0,0,2,2004Q1,816
1,3,2,3,0,0,1,2004Q1,817
0,3,0,0,0,0,0,2004Q1,818
1,2,3,0,0,0,0,2004Q1,819
1,1,0,1,0,0,0,2004Q1,821
3,10,2,4,0,0,1,2004Q1,822
2,2,5,2,0,0,1,2004Q1,823
0,10,5,2,1,0,0,2004Q1,824
0,1,2,0,0,0,0,2004Q1,825
0,1,3,0,0,0,1,2004Q1,826
1,15,5,4,0,0,3,2004Q1,827
2,5,4,0,0,0,0,2004Q1,828
1,8,3,2,0,0,0,2004Q1,829
2,16,13,5,0,0,1,2004Q1,831
4,20,7,8,0,0,2,2004Q1,832
5,28,18,10,2,0,4,2004Q1,833
1,16,5,6,0,0,0,2004Q1,834
6,23,11,11,1,1,3,2004Q1,835
2,15,6,8,0,0,1,2004Q1,836
6,5,5,3,0,0,1,2004Q1,839
2,13,5,3,1,0,1,2004Q1,841
14,32,9,11,1,0,5,2004Q1,842
3,5,3,2,0,0,2,2004Q1,847
0,0,1,0,0,0,0,2004Q1,848
6,11,10,12,0,0,5,2004Q1,849
1,8,5,4,1,0,1,2004Q1,851
7,7,3,2,0,0,2,2004Q1,852
1,25,2,4,0,0,4,2004Q1,853
0,3,6,0,0,0,0,2004Q1,854
2,8,14,5,1,0,5,2004Q1,857
2,4,3,1,0,0,0,2004Q1,858
5,21,11,10,0,0,7,2004Q1,859
2,8,8,3,0,0,10,2004Q1,881
3,15,2,5,0,0,0,2004Q1,882
0,3,0,0,0,0,0,2004Q1,883
4,9,5,4,2,0,3,2004Q1,884
0,11,6,4,0,0,0,2004Q1,885
6,5,3,0,0,0,1,2004Q1,886
0,2,3,2,0,0,0,2004Q1,887
10,8,10,11,1,0,11,2004Q1,889
0,3,1,1,1,0,1,2004Q1,891
1,11,3,6,0,0,0,2004Q1,892
3,9,3,3,0,0,0,2004Q1,893
0,2,2,1,0,0,0,2004Q1,895
2,0,0,0,0,0,1,2004Q1,896
2,11,1,5,0,0,4,2004Q1,897
8,16,6,11,1,1,10,2004Q1,898
1,12,4,9,0,1,2,2004Q1,899
5,8,8,1,0,0,2,2004Q1,911
4,10,6,11,0,0,5,2004Q1,921
5,29,15,17,0,3,4,2004Q1,922
6,7,3,4,0,1,4,2004Q1,923
4,3,3,6,0,1,2,2004Q1,924
11,9,4,13,0,0,5,2004Q1,925
5,16,10,21,0,0,7,2004Q1,926
5,18,13,17,0,0,2,2004Q1,927
0,1,0,0,0,0,0,2004Q1,929
3,7,8,10,0,0,1,2004Q1,931
7,25,6,11,0,0,7,2004Q1,932
1,4,1,2,0,0,1,2004Q1,934
5,4,6,6,0,0,4,2004Q1,935
12,30,18,31,1,0,11,2004Q1,936
12,16,3,13,0,0,0,2004Q1,937
10,15,5,9,0,1,5,2004Q1,938
4,17,13,3,0,1,5,2004Q1,941
5,22,3,12,0,0,3,2004Q1,942
9,9,7,17,0,0,5,2004Q1,944
9,25,12,23,2,2,10,2004Q1,945
12,15,7,18,0,1,7,2004Q1,946
9,9,5,10,0,0,6,2004Q1,948
2,11,4,3,0,0,3,2004Q1,951
0,19,8,23,0,0,8,2004Q1,952
17,18,8,24,1,0,7,2004Q1,955
10,19,11,18,0,0,10,2004Q1,956
11,37,15,21,0,1,9,2004Q1,957
15,20,14,18,0,0,6,2004Q1,958
0,6,4,2,0,0,0,2004Q1,961
5,15,12,12,0,1,4,2004Q1,962
6,26,14,4,0,0,3,2004Q1,963
4,14,5,11,1,0,1,2004Q1,964
5,20,4,11,0,0,0,2004Q1,965
2,9,9,4,0,0,3,2004Q1,966
5,15,6,1,0,0,2,2004Q1,968
4,17,6,9,0,0,3,2004Q1,969
1,22,2,6,0,0,1,2004Q1,972
4,11,5,5,0,0,3,2004Q1,973
1,21,6,6,0,0,4,2004Q1,974
1,10,5,6,0,0,0,2004Q1,975
3,21,16,4,0,0,1,2004Q1,976
3,27,14,9,1,0,1,2004Q1,977
2,10,3,3,0,0,1,2004Q1,978
5,31,8,4,0,0,4,2004Q1,979
0,16,9,2,0,0,2,2004Q1,983
0,4,7,0,0,0,1,2004Q1,984
2,15,12,11,0,0,2,2004Q1,986
5,19,18,5,1,0,4,2004Q1,988
2,3,1,0,0,0,1,2004Q1,989
0,5,8,2,0,0,0,2004Q1,995
0,2,5,1,0,0,1,2004Q1,998
1,15,7,3,0,0,2,2004Q1,999
3,0,0,0,0,0,0,2004Q1,1000
1,1,1,0,0,0,0,2004Q1,1001
0,2,1,0,0,0,0,2004Q1,1002
3,2,2,1,0,0,1,2004Q1,1003
5,21,8,20,0,0,1,2004Q1,1004
6,12,3,7,0,0,1,2004Q1,1005
12,19,11,14,1,0,5,2004Q1,1006
6,2,2,8,0,0,3,2004Q1,1007
4,6,8,9,0,0,3,2004Q1,1008
0,8,6,2,0,0,0,2004Q1,1011
1,4,8,2,0,0,0,2004Q1,1012
3,10,10,6,0,0,0,2004Q1,1013
6,9,7,4,0,0,5,2004Q1,1014
8,16,8,17,0,0,7,2004Q1,1015
5,14,8,16,0,0,2,2004Q1,1016
3,4,6,8,0,0,0,2004Q1,1017
0,1,0,1,0,0,1,2004Q1,1021
4,4,8,0,0,0,0,2004Q1,1022
2,7,5,7,0,0,3,2004Q1,1024
14,27,7,19,0,0,6,2004Q1,1025
17,8,4,11,0,0,1,2004Q1,1026
13,14,7,10,0,0,4,2004Q1,1027
4,12,7,10,0,0,5,2004Q1,1028
5,2,5,1,0,0,1,2004Q1,1032
3,8,2,7,0,0,2,2004Q1,1033
1,1,2,7,0,0,1,2004Q1,1034
6,7,7,2,0,0,4,2004Q1,1035
6,6,5,10,0,0,1,2004Q1,1036
3,10,9,8,0,0,1,2004Q1,1037
10,25,12,25,1,0,1,2004Q1,1038
4,9,12,7,0,0,2,2004Q1,1042
11,14,9,8,0,0,1,2004Q1,1043
0,5,4,0,0,0,0,2004Q1,1044
2,7,7,0,0,0,1,2004Q1,1045
2,29,11,2,0,0,2,2004Q1,1046
8,15,5,10,0,0,1,2004Q1,1047
4,9,10,9,0,0,2,2004Q1,1048
3,12,12,2,0,0,1,2004Q1,1049
3,11,7,1,0,0,2,2004Q1,1051
4,7,3,1,0,0,0,2004Q1,1052
0,8,10,5,0,0,7,2004Q1,1053
3,7,5,1,0,0,0,2004Q1,1054
1,9,8,3,0,0,1,2004Q1,1055
6,19,3,3,0,0,1,2004Q1,1056
2,15,18,12,2,0,4,2004Q1,1057
2,12,10,8,0,0,0,2004Q1,1058
4,20,9,5,0,0,3,2004Q1,1059
2,4,5,4,1,0,2,2004Q1,1061
1,2,2,0,0,0,0,2004Q1,1062
0,24,10,10,0,0,2,2004Q1,1063
5,34,15,8,1,0,2,2004Q1,1064
0,3,1,1,0,0,0,2004Q1,1065
2,5,12,3,0,0,2,2004Q1,1066
2,13,0,9,0,0,4,2004Q1,1067
2,10,12,5,0,0,1,2004Q1,1068
0,1,1,0,0,0,0,2004Q1,1069
4,5,2,0,0,0,1,2004Q1,1071
3,8,3,2,0,0,3,2004Q1,1072
2,17,5,2,0,0,3,2004Q1,1073
6,17,7,5,0,0,3,2004Q1,1075
5,28,9,12,1,0,5,2004Q1,1076
1,22,8,4,0,0,3,2004Q1,1077
2,8,6,0,0,0,1,2004Q1,1078
0,6,5,1,1,0,2,2004Q1,1079
1,5,8,4,0,0,3,2004Q1,1081
0,16,5,1,0,0,0,2004Q1,1082
3,18,9,5,2,0,3,2004Q1,1083
2,8,9,3,1,0,3,2004Q1,1084
7,25,25,6,0,0,13,2004Q1,1085
2,13,10,4,0,0,1,2004Q1,1086
1,12,6,3,0,0,4,2004Q1,1087
2,4,10,1,0,0,4,2004Q1,1088
1,8,6,2,0,0,3,2004Q1,1089
0,9,3,3,0,0,0,2004Q1,1092
0,4,6,2,2,0,1,2004Q1,1094
1,6,6,2,3,0,0,2004Q1,1095
0,5,5,0,0,0,0,2004Q1,1096
0,6,15,4,0,0,2,2004Q1,1097
0,0,2,0,0,0,1,2004Q1,1098
1,4,5,0,0,0,0,2004Q1,1099
7,10,0,0,0,0,0,2004Q1,1101
10,10,2,3,0,0,1,2004Q1,1102
0,2,5,2,0,0,0,2004Q1,1105
1,14,1,4,1,0,0,2004Q1,1109
0,19,5,11,0,0,0,2004Q1,1112
2,13,11,6,0,0,1,2004Q1,1113
5,9,6,6,0,0,3,2004Q1,1115
6,15,3,7,0,0,3,2004Q1,1117
6,9,3,5,0,0,2,2004Q1,1119
4,10,3,1,0,1,2,2004Q1,1123
12,19,8,15,0,0,6,2004Q1,1124
4,10,2,11,0,0,3,2004Q1,1125
9,12,9,4,0,0,1,2004Q1,1126
10,15,8,9,0,0,5,2004Q1,1127
4,12,2,7,0,0,6,2004Q1,1128
5,20,3,11,0,0,2,2004Q1,1129
5,25,4,11,0,0,0,2004Q1,1132
10,10,3,11,0,0,3,2004Q1,1133
6,13,4,5,0,0,2,2004Q1,1134
3,15,5,5,0,0,1,2004Q1,1135
7,22,7,16,1,0,6,2004Q1,1136
10,16,6,14,0,1,0,2004Q1,1137
27,32,8,12,0,1,4,2004Q1,1138
2,20,3,14,0,0,6,2004Q1,1139
3,16,7,14,0,0,1,2004Q1,1141
4,14,9,14,1,0,5,2004Q1,1142
2,33,13,10,0,0,4,2004Q1,1143
3,24,5,4,0,0,1,2004Q1,1144
3,29,6,15,0,0,3,2004Q1,1145
4,2,0,2,0,1,1,2004Q1,1146
3,5,2,9,0,0,0,2004Q1,1147
8,19,4,5,1,0,2,2004Q1,1148
17,18,5,15,0,0,7,2004Q1,1149
9,15,8,12,0,0,8,2004Q1,1151
3,17,5,6,0,0,0,2004Q1,1152
1,3,0,5,0,0,0,2004Q1,1153
4,7,6,8,0,0,0,2004Q1,1158
0,1,1,0,0,0,0,2004Q1,1159
7,6,5,11,0,0,7,2004Q1,1161
8,18,7,9,0,0,7,2004Q1,1162
3,15,8,10,0,0,1,2004Q1,1171
7,12,6,10,0,0,1,2004Q1,1172
6,11,6,13,0,0,1,2004Q1,1173
1,3,0,0,0,0,0,2004Q1,1174
1,1,0,0,0,0,0,2004Q1,1175
4,6,5,8,0,0,0,2004Q1,1176
11,19,6,19,0,1,5,2004Q1,1177
7,2,5,3,0,0,2,2004Q1,1179
16,8,4,11,0,0,5,2004Q1,1181
4,10,4,5,0,0,1,2004Q1,1184
0,1,1,0,0,0,0,2004Q1,1186
1,9,1,4,0,0,0,2004Q1,1189
0,2,0,1,0,0,0,2004Q1,1199
19,16,12,29,0,4,12,2004Q1,1203
15,6,6,11,1,0,15,2004Q1,1204
12,7,5,12,0,1,3,2004Q1,1205
28,12,11,20,2,0,16,2004Q1,1208
3,1,1,9,1,0,0,2004Q1,1209
17,10,15,9,0,0,15,2004Q1,1211
19,17,7,24,1,1,9,2004Q1,1213
23,9,5,28,0,0,10,2004Q1,1215
10,8,9,16,0,1,4,2004Q1,1218
2,8,0,1,0,0,2,2004Q1,1219
7,15,9,8,0,0,4,2004Q1,1231
14,15,14,15,0,0,16,2004Q1,1232
20,4,11,23,0,1,3,2004Q1,1233
10,7,1,17,0,0,4,2004Q1,1235
23,20,11,31,1,0,17,2004Q1,1239
46,18,3,12,0,0,11,2004Q1,1241
11,12,17,9,0,0,0,2004Q1,1242
22,18,23,24,1,1,6,2004Q1,1243
